"matrix2","leuven","w2v","clip","unverified_gpt_summer_no_mc","verified_gpt_summer_no_mc","human_triplet","gpt_triplet","gpt_embed_mds","flan_xl_mds","flan_xxl_mds"
"1","leuven","1","0.819217954090827","0.498176058798629","0.732086098530752","0.907636013880672","0.946689960158281","0.650432632076241","0.77031389461612","0.826878269045638","0.91187369164352"
"2","w2v","0.819217954090826","1","0.487138558070133","0.642068666907953","0.782122416777856","0.740896480455933","0.565669416326972","0.71872245316124","0.775801195164982","0.832591768018113"
"3","clip","0.498176058798628","0.487138558070133","1","0.496397383817945","0.501464420395801","0.43740361095994","0.455010623778919","0.589916435678192","0.433258426717338","0.48966629930457"
"4","unverified_gpt_summer_no_mc","0.732086098530752","0.642068666907953","0.496397383817946","1","0.685382926327928","0.636815992336449","0.477399921682256","0.718741723245988","0.622451314185467","0.68359213829987"
"5","verified_gpt_summer_no_mc","0.907636013880672","0.782122416777856","0.501464420395801","0.685382926327928","1","0.857504558136223","0.67252932169914","0.814409580047903","0.867238316224568","0.942735291782094"
"6","human_triplet","0.946689960158281","0.740896480455932","0.43740361095994","0.636815992336449","0.857504558136223","1","0.58974730556541","0.665806309231852","0.768274085409672","0.843168359404976"
"7","gpt_triplet","0.650432632076241","0.565669416326972","0.45501062377892","0.477399921682256","0.67252932169914","0.589747305565411","1","0.613608468311081","0.587945073911967","0.620837927262696"
"8","gpt_embed_mds","0.770313894616119","0.718722453161239","0.589916435678192","0.718741723245987","0.814409580047903","0.665806309231852","0.613608468311081","1","0.751571836984036","0.800984746566675"
"9","flan_xl_mds","0.826878269045637","0.775801195164982","0.433258426717338","0.622451314185466","0.867238316224568","0.768274085409672","0.587945073911967","0.751571836984036","1","0.872766424314722"
"10","flan_xxl_mds","0.911873691643519","0.832591768018113","0.48966629930457","0.68359213829987","0.942735291782094","0.843168359404976","0.620837927262695","0.800984746566676","0.872766424314722","1"
