,concept,embed_1,embed_2,embed_3,category
0,Alligator,-0.074299596,0.07460296,0.067653626,reptile
1,Blindworm,-0.27408594,0.1026112,0.37103847,reptile
2,Boa python,-0.106170945,0.064710185,0.055978153,reptile
3,Caiman,-0.105059676,0.024575356,0.03472617,reptile
4,Chameleon,-0.07789332,0.16133633,0.13796474,reptile
5,Cobra,-0.016106876,0.021051362,-0.0070357732,reptile
6,Crocodile,-0.07353769,0.06877792,0.09466579,reptile
7,Dinosaur,-0.10680034,-0.0012122323,0.08859579,reptile
8,Gecko,-0.067513935,0.102531426,0.09724189,reptile
9,Lizard,-0.06290523,0.10363637,0.14053339,reptile
10,Salamander,-0.2528102,0.3005009,0.103391744,reptile
11,Snake,-0.2042334,0.17753142,0.22539055,reptile
12,Toad,-0.0999718,-0.11506769,0.32503718,reptile
13,Tortoise,0.28667504,0.428358,0.5529744,reptile
14,Turtle,0.063675895,0.32525468,0.30160525,reptile
15,Anvil,0.069967985,-0.0349806,-0.090526834,tool
16,Axe,0.047717903,-0.025466602,-0.053762592,tool
17,Chisel,0.18463755,-0.058039114,-0.15917264,tool
18,Grinding disk,0.39640757,0.26450634,-0.4401445,tool
19,Hammer,0.14182317,-0.04174024,-0.130306,tool
20,Knife,0.15732776,-0.085450254,-0.13158149,tool
21,Lawn Mower,-0.3501431,-0.41095692,-0.08104373,tool
22,Nail,0.11997261,-0.04194008,-0.083720796,tool
23,Oil can,-0.10453187,-0.17493187,-0.1994585,tool
24,Paint brush,0.011587822,0.24371287,-0.2128812,tool
25,Saw,0.08823378,-0.0811177,-0.11660364,tool
26,Screwdriver,0.27508187,-0.28314582,-0.3444021,tool
27,Shovel,0.17840666,-0.21198903,-0.16095036,tool
28,Spanner,0.3499466,-0.21741596,-0.28834328,tool
29,Vacuum,-0.46976852,-0.57534367,-0.32253608,tool
