head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
2,15,4,15,Random,-9999.0,9ebb7e54858df647,4.609999895095825,0.3659999370574951,1657608426.571,4,Lawn Mower,Boa python,Axe,Lawn Mower,Boa python,Lawn Mower,Boa python,Axe,Lawn Mower,Boa python,489.87865352630615,2022-07-12T06:47:06.571000,1657607936.6923466,1,1
13,2,11,2,Random,-9999.0,9ebb7e54858df647,2.11299991607666,0.14400005340576172,1657608428.815,11,Axe,Gecko,Hammer,Axe,Gecko,Axe,Gecko,Hammer,Axe,Gecko,492.1226534843445,2022-07-12T06:47:08.815000,1657607936.6923466,2,2
6,0,18,0,Validation,1.0,9ebb7e54858df647,1.9600000381469729,0.14100003242492676,1657608430.963,18,Alligator,Oil can,Chameleon,Alligator,Oil can,Alligator,Oil can,Chameleon,Alligator,Oil can,494.27065348625183,2022-07-12T06:47:10.963000,1657607936.6923466,3,3
11,24,18,24,Random,-9999.0,9ebb7e54858df647,2.1460001468658447,0.16499996185302734,1657608433.226,18,Snake,Oil can,Gecko,Snake,Oil can,Snake,Oil can,Gecko,Snake,Oil can,496.5336534976959,2022-07-12T06:47:13.226000,1657607936.6923466,4,4
28,9,19,9,Random,-9999.0,9ebb7e54858df647,2.121999979019165,0.1360001564025879,1657608435.484,19,Crocodile,Paint brush,Turtle,Crocodile,Paint brush,Crocodile,Paint brush,Turtle,Crocodile,Paint brush,498.7916533946991,2022-07-12T06:47:15.484000,1657607936.6923466,5,5
17,11,29,29,Random,-9999.0,9ebb7e54858df647,2.8919999599456787,0.1380000114440918,1657608438.506,11,Gecko,Vacuum,Nail,Vacuum,Gecko,Gecko,Vacuum,Nail,Vacuum,Gecko,501.8136534690857,2022-07-12T06:47:18.506000,1657607936.6923466,6,6
16,28,4,4,Random,-9999.0,9ebb7e54858df647,3.450999975204468,0.13199996948242188,1657608442.095,28,Turtle,Boa python,Lizard,Boa python,Turtle,Turtle,Boa python,Lizard,Boa python,Turtle,505.40265345573425,2022-07-12T06:47:22.095000,1657607936.6923466,7,7
28,1,11,11,Random,-9999.0,9ebb7e54858df647,3.625999927520752,0.13499999046325684,1657608445.861,1,Anvil,Gecko,Turtle,Gecko,Anvil,Anvil,Gecko,Turtle,Gecko,Anvil,509.1686534881592,2022-07-12T06:47:25.861000,1657607936.6923466,8,8
19,15,5,15,Random,-9999.0,9ebb7e54858df647,3.955999851226806,0.1400001049041748,1657608449.942,5,Lawn Mower,Caiman,Paint brush,Lawn Mower,Caiman,Lawn Mower,Caiman,Paint brush,Lawn Mower,Caiman,513.249653339386,2022-07-12T06:47:29.942000,1657607936.6923466,9,9
15,9,2,2,Random,-9999.0,9ebb7e54858df647,2.00600004196167,0.13199996948242188,1657608452.103,9,Crocodile,Axe,Lawn Mower,Axe,Crocodile,Crocodile,Axe,Lawn Mower,Axe,Crocodile,515.4106533527374,2022-07-12T06:47:32.103000,1657607936.6923466,10,10
22,23,2,23,Random,-9999.0,9ebb7e54858df647,4.659999847412109,0.14800000190734863,1657608456.901,2,Shovel,Axe,Screwdriver,Shovel,Axe,Shovel,Axe,Screwdriver,Shovel,Axe,520.2086534500122,2022-07-12T06:47:36.901000,1657607936.6923466,11,11
10,26,8,8,Random,-9999.0,9ebb7e54858df647,4.147000074386597,0.14300012588500977,1657608461.186,26,Toad,Cobra,Dinosaur,Cobra,Toad,Toad,Cobra,Dinosaur,Cobra,Toad,524.4936535358429,2022-07-12T06:47:41.186000,1657607936.6923466,12,12
26,20,17,20,Random,-9999.0,9ebb7e54858df647,1.9649999141693115,0.13499999046325684,1657608463.319,17,Salamander,Nail,Toad,Salamander,Nail,Salamander,Nail,Toad,Salamander,Nail,526.6266534328461,2022-07-12T06:47:43.319000,1657607936.6923466,13,13
3,24,5,24,Random,-9999.0,9ebb7e54858df647,2.7869999408721924,0.17300009727478027,1657608466.245,5,Snake,Caiman,Blindworm,Snake,Caiman,Snake,Caiman,Blindworm,Snake,Caiman,529.5526533126831,2022-07-12T06:47:46.245000,1657607936.6923466,14,14
14,0,21,21,Random,-9999.0,9ebb7e54858df647,2.205999851226806,0.13700008392333984,1657608468.591,0,Alligator,Saw,Knife,Saw,Alligator,Alligator,Saw,Knife,Saw,Alligator,531.8986535072327,2022-07-12T06:47:48.591000,1657607936.6923466,15,15
3,8,4,4,Random,-9999.0,9ebb7e54858df647,3.8989999294281006,0.1380000114440918,1657608472.625,8,Cobra,Boa python,Blindworm,Boa python,Cobra,Cobra,Boa python,Blindworm,Boa python,Cobra,535.932653427124,2022-07-12T06:47:52.625000,1657607936.6923466,16,16
10,2,1,2,Random,-9999.0,9ebb7e54858df647,4.684000015258789,0.13700008392333984,1657608477.453,1,Axe,Anvil,Dinosaur,Axe,Anvil,Axe,Anvil,Dinosaur,Axe,Anvil,540.7606534957886,2022-07-12T06:47:57.453000,1657607936.6923466,17,17
25,13,12,13,Random,-9999.0,9ebb7e54858df647,3.497999906539917,0.13899993896484375,1657608481.085,12,Hammer,Grinding disk,Spanner,Hammer,Grinding disk,Hammer,Grinding disk,Spanner,Hammer,Grinding disk,544.392653465271,2022-07-12T06:48:01.085000,1657607936.6923466,18,18
21,19,0,19,Random,-9999.0,9ebb7e54858df647,3.4040000438690186,0.13700008392333984,1657608484.624,0,Paint brush,Alligator,Saw,Paint brush,Alligator,Paint brush,Alligator,Saw,Paint brush,Alligator,547.9316534996033,2022-07-12T06:48:04.624000,1657607936.6923466,19,19
29,0,14,14,Random,-9999.0,9ebb7e54858df647,2.15999984741211,0.1360001564025879,1657608486.932,0,Alligator,Knife,Vacuum,Knife,Alligator,Alligator,Knife,Vacuum,Knife,Alligator,550.2396533489227,2022-07-12T06:48:06.932000,1657607936.6923466,20,20
2,12,7,7,Random,-9999.0,9ebb7e54858df647,2.7100000381469727,0.14700007438659668,1657608489.769,12,Grinding disk,Chisel,Axe,Chisel,Grinding disk,Grinding disk,Chisel,Axe,Chisel,Grinding disk,553.0766534805298,2022-07-12T06:48:09.769000,1657607936.6923466,21,21
2,18,0,0,Validation,2.0,9ebb7e54858df647,2.90999984741211,0.13400006294250488,1657608492.809,18,Oil can,Alligator,Axe,Alligator,Oil can,Oil can,Alligator,Axe,Alligator,Oil can,556.1166534423828,2022-07-12T06:48:12.809000,1657607936.6923466,22,22
