head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
18,11,13,13,Random,-9999.0,787a3fe2b5664b28,2.8420000076293945,0.19900012016296387,1658776634.578,11,Gecko,Hammer,Oil can,Hammer,Gecko,Gecko,Hammer,Oil can,Hammer,Gecko,618.2844870090485,2022-07-25T19:17:14.578000,1658776016.293513,1,1
15,29,7,29,Random,-9999.0,787a3fe2b5664b28,1.9129998683929443,0.15899991989135742,1658776636.587,7,Vacuum,Chisel,Lawn Mower,Vacuum,Chisel,Vacuum,Chisel,Lawn Mower,Vacuum,Chisel,620.2934868335724,2022-07-25T19:17:16.587000,1658776016.293513,2,2
10,26,29,26,Random,-9999.0,787a3fe2b5664b28,1.5879998207092283,0.1550002098083496,1658776638.327,29,Toad,Vacuum,Dinosaur,Toad,Vacuum,Toad,Vacuum,Dinosaur,Toad,Vacuum,622.0334868431091,2022-07-25T19:17:18.327000,1658776016.293513,3,3
20,18,6,6,Random,-9999.0,787a3fe2b5664b28,1.816999912261963,0.1010000705718994,1658776640.247,18,Oil can,Chameleon,Salamander,Chameleon,Oil can,Oil can,Chameleon,Salamander,Chameleon,Oil can,623.9534869194031,2022-07-25T19:17:20.247000,1658776016.293513,4,4
9,19,25,25,Random,-9999.0,787a3fe2b5664b28,2.128999948501587,0.08500003814697266,1658776642.53,19,Paint brush,Spanner,Crocodile,Spanner,Paint brush,Paint brush,Spanner,Crocodile,Spanner,Paint brush,626.2364869117737,2022-07-25T19:17:22.530000,1658776016.293513,5,5
3,20,26,20,Random,-9999.0,787a3fe2b5664b28,5.479000091552734,0.17499995231628418,1658776648.176,26,Salamander,Toad,Blindworm,Salamander,Toad,Salamander,Toad,Blindworm,Salamander,Toad,631.8824870586395,2022-07-25T19:17:28.176000,1658776016.293513,6,6
23,18,7,7,Random,-9999.0,787a3fe2b5664b28,1.954999923706055,0.16300010681152344,1658776650.365,18,Oil can,Chisel,Shovel,Chisel,Oil can,Oil can,Chisel,Shovel,Chisel,Oil can,634.0714869499207,2022-07-25T19:17:30.365000,1658776016.293513,7,7
17,16,7,7,Random,-9999.0,787a3fe2b5664b28,1.7829999923706057,0.1970000267028809,1658776652.22,16,Lizard,Chisel,Nail,Chisel,Lizard,Lizard,Chisel,Nail,Chisel,Lizard,635.9264869689941,2022-07-25T19:17:32.220000,1658776016.293513,8,8
2,18,0,18,Validation,0.0,787a3fe2b5664b28,1.7080001831054688,0.17999982833862305,1658776654.101,0,Oil can,Alligator,Axe,Oil can,Alligator,Oil can,Alligator,Axe,Oil can,Alligator,637.8074870109558,2022-07-25T19:17:34.101000,1658776016.293513,9,9
19,23,8,23,Random,-9999.0,787a3fe2b5664b28,1.977999925613403,0.09599995613098145,1658776656.255,8,Shovel,Cobra,Paint brush,Shovel,Cobra,Shovel,Cobra,Paint brush,Shovel,Cobra,639.9614870548248,2022-07-25T19:17:36.255000,1658776016.293513,10,10
11,6,14,6,Random,-9999.0,787a3fe2b5664b28,1.7359998226165771,0.15600013732910156,1658776658.069,14,Chameleon,Knife,Gecko,Chameleon,Knife,Chameleon,Knife,Gecko,Chameleon,Knife,641.775486946106,2022-07-25T19:17:38.069000,1658776016.293513,11,11
5,25,0,0,Random,-9999.0,787a3fe2b5664b28,1.5499999523162842,0.10000014305114746,1658776659.724,25,Spanner,Alligator,Caiman,Alligator,Spanner,Spanner,Alligator,Caiman,Alligator,Spanner,643.4304869174957,2022-07-25T19:17:39.724000,1658776016.293513,12,12
10,20,9,9,Random,-9999.0,787a3fe2b5664b28,1.8509998321533203,0.10400009155273438,1658776661.677,20,Salamander,Crocodile,Dinosaur,Crocodile,Salamander,Salamander,Crocodile,Dinosaur,Crocodile,Salamander,645.3834869861603,2022-07-25T19:17:41.677000,1658776016.293513,13,13
20,2,13,2,Random,-9999.0,787a3fe2b5664b28,1.861000061035156,0.09100008010864258,1658776663.612,13,Axe,Hammer,Salamander,Axe,Hammer,Axe,Hammer,Salamander,Axe,Hammer,647.3184869289398,2022-07-25T19:17:43.612000,1658776016.293513,14,14
1,8,20,8,Random,-9999.0,787a3fe2b5664b28,4.33299994468689,0.07200002670288086,1658776668.099,20,Cobra,Salamander,Anvil,Cobra,Salamander,Cobra,Salamander,Anvil,Cobra,Salamander,651.8054869174957,2022-07-25T19:17:48.099000,1658776016.293513,15,15
7,3,21,21,Random,-9999.0,787a3fe2b5664b28,1.7779998779296875,0.1770000457763672,1658776669.985,3,Blindworm,Saw,Chisel,Saw,Blindworm,Blindworm,Saw,Chisel,Saw,Blindworm,653.6914868354797,2022-07-25T19:17:49.985000,1658776016.293513,16,16
24,0,7,0,Validation,1.0,787a3fe2b5664b28,2.009999990463257,0.09599995613098145,1658776672.156,7,Alligator,Chisel,Snake,Alligator,Chisel,Alligator,Chisel,Snake,Alligator,Chisel,655.8624868392944,2022-07-25T19:17:52.156000,1658776016.293513,17,17
9,0,2,0,Random,-9999.0,787a3fe2b5664b28,1.4519999027252195,0.17200016975402832,1658776673.717,2,Alligator,Axe,Crocodile,Alligator,Axe,Alligator,Axe,Crocodile,Alligator,Axe,657.4234869480133,2022-07-25T19:17:53.717000,1658776016.293513,18,18
15,3,28,28,Random,-9999.0,787a3fe2b5664b28,3.008000135421753,0.0989999771118164,1658776676.887,3,Blindworm,Turtle,Lawn Mower,Turtle,Blindworm,Blindworm,Turtle,Lawn Mower,Turtle,Blindworm,660.5934870243073,2022-07-25T19:17:56.887000,1658776016.293513,19,19
18,4,21,21,Random,-9999.0,787a3fe2b5664b28,1.928999900817871,0.17200016975402832,1658776679.037,4,Boa python,Saw,Oil can,Saw,Boa python,Boa python,Saw,Oil can,Saw,Boa python,662.7434868812561,2022-07-25T19:17:59.037000,1658776016.293513,20,20
8,0,26,26,Validation,2.0,787a3fe2b5664b28,3.184000015258789,0.19099998474121097,1658776682.361,0,Alligator,Toad,Cobra,Toad,Alligator,Alligator,Toad,Cobra,Toad,Alligator,666.0674870014191,2022-07-25T19:18:02.361000,1658776016.293513,21,21
11,20,8,20,Random,-9999.0,787a3fe2b5664b28,1.931999921798706,0.16700005531311035,1658776684.514,8,Salamander,Cobra,Gecko,Salamander,Cobra,Salamander,Cobra,Gecko,Salamander,Cobra,668.2204868793488,2022-07-25T19:18:04.514000,1658776016.293513,22,22
0,25,8,8,Random,-9999.0,787a3fe2b5664b28,1.6529998779296875,0.19000005722045896,1658776686.242,25,Spanner,Cobra,Alligator,Cobra,Spanner,Spanner,Cobra,Alligator,Cobra,Spanner,669.9484870433807,2022-07-25T19:18:06.242000,1658776016.293513,23,23
18,27,0,27,Validation,3.0,787a3fe2b5664b28,3.0799999237060547,0.10800004005432128,1658776689.496,0,Tortoise,Alligator,Oil can,Tortoise,Alligator,Tortoise,Alligator,Oil can,Tortoise,Alligator,673.2024869918823,2022-07-25T19:18:09.496000,1658776016.293513,24,24
28,9,3,9,Random,-9999.0,787a3fe2b5664b28,2.2259998321533203,0.17200016975402832,1658776691.903,3,Crocodile,Blindworm,Turtle,Crocodile,Blindworm,Crocodile,Blindworm,Turtle,Crocodile,Blindworm,675.6094870567322,2022-07-25T19:18:11.903000,1658776016.293513,25,25
