,concept,embed_1,embed_2,embed_3,category
0,Chess,0.0017044407,0.00032996392,0.002440404,Activities
1,Cooking,0.51838106,-0.42010966,-0.05235225,Activities
2,Driving,0.03712607,0.017276721,0.029847527,Activities
3,Fashion,-0.011335728,0.006317208,0.049399346,Activities
4,Karate,0.08817807,-0.08828169,0.06961152,Activities
5,Knitting,-0.50757587,-0.9074845,-0.4253117,Activities
6,Reading,0.9220607,0.33486325,1.1741619,Activities
7,Robotics,0.02511286,0.017439513,0.0055683022,Activities
8,Shopping,-0.026745167,0.31796637,0.32293007,Activities
9,Weightlifting,0.2336645,-0.42386028,-0.39826813,Activities
10,Woodworking,0.04388459,-0.00062706036,-0.009177265,Activities
11,Yoga,-0.25017792,0.08506074,-0.16513062,Activities
12,Adult,0.1428285,-0.023168799,-0.0019708078,Age
13,Baby,-0.012762181,0.019779604,-0.0018556755,Age
14,Beautiful,-0.04202898,0.045508005,-0.07258969,Appearance
15,Healthy,-0.030922761,0.2543327,-0.16319592,Appearance
16,Ugly,-0.35817182,-0.3127473,0.7013131,Appearance
17,Unhealthy,-0.2654111,-0.39209118,0.24711002,Appearance
18,Rural,0.022298446,-0.025167003,0.0042026886,Area
19,Urban,0.012350379,0.07065664,0.01707233,Area
20,Angry,-0.32448664,0.033531986,0.28308815,Attitudes
21,Confident,0.120174944,0.22232486,-0.21350412,Attitudes
22,Hard-working,0.19767636,-0.17852008,0.001193611,Attitudes
23,Jealous,-0.06498255,-0.029551895,-0.02272024,Attitudes
24,Lazy,-0.13571925,-0.20463572,0.017915474,Attitudes
25,Strong,0.1496231,0.030976018,-0.23960361,Attitudes
26,Weak,-0.49681523,-0.43400776,-0.015409144,Attitudes
27,Obese,-0.1559178,-0.049716566,0.10217898,BMI
28,College,0.33496964,0.092483535,-0.18263891,Education
29,Dropout,-0.18214543,-0.11108021,0.02887886,Education
30,Cis,0.005741538,0.0049066083,-0.023052234,Gender
31,Man,0.042833906,0.0027581742,-0.018628558,Gender
32,Woman,0.21666509,0.115872435,-0.55917,Gender
33,Homeless,-0.41251907,0.10094781,0.37185103,Housing
34,Homeowner,0.2579668,-0.28863937,-0.12675816,Housing
35,Citizen,0.12768719,0.028170442,-0.06961809,Immigration
