,head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
0,12,23,74,23,Random,-9999.0,473f448cb2ab2122,10.333000183105469,0.2049999237060547,1658780740.835,74,Obese,Flight attendant,Baby,Obese,Flight attendant,Obese,Flight attendant,Baby,Obese,Flight attendant,305.2463207244873,2022-07-25T20:25:40.835000,1658780435.5886793,1,1
1,17,79,5,79,Random,-9999.0,473f448cb2ab2122,5.371000051498413,0.2230000495910644,1658780746.424,5,Unhealthy,Reading,Angry,Unhealthy,Reading,Unhealthy,Reading,Angry,Unhealthy,Reading,310.83532071113586,2022-07-25T20:25:46.424000,1658780435.5886793,2,2
2,87,35,56,56,Random,-9999.0,fe45e6534c29bb04,13.94000005722046,0.187999963760376,1658780754.697,35,Middleーclass,Happy,Caucasian,Happy,Middleーclass,Middleーclass,Happy,Caucasian,Happy,Middleーclass,319.1083207130432,2022-07-25T20:25:54.697000,1658780435.5886793,1,5
3,59,8,52,8,Random,-9999.0,fe45e6534c29bb04,4.075999975204468,0.189000129699707,1658780758.963,52,Robotics,Optimistic,Energetic,Robotics,Optimistic,Robotics,Optimistic,Energetic,Robotics,Optimistic,323.37432074546814,2022-07-25T20:25:58.963000,1658780435.5886793,2,7
4,10,100,68,68,Random,-9999.0,c1e339304d8f3290,42.32300019264221,1.2879998683929443,1658780761.622,100,Winner,Doctor,Yoga,Doctor,Winner,Winner,Doctor,Yoga,Doctor,Winner,326.0333206653595,2022-07-25T20:26:01.622000,1658780435.5886793,1,9
5,37,34,59,34,Random,-9999.0,4c6f016c7d4a7203,6.38100004196167,0.246000051498413,1658780762.041,59,Poor,Energetic,Dumb,Poor,Energetic,Poor,Energetic,Dumb,Poor,Energetic,326.4523205757141,2022-07-25T20:26:02.041000,1658780435.5886793,1,10
6,101,77,53,77,Random,-9999.0,fe45e6534c29bb04,4.547999858856201,0.1909999847412109,1658780763.695,53,Ugly,Nerdy,Loser,Ugly,Nerdy,Ugly,Nerdy,Loser,Ugly,Nerdy,328.1063206195832,2022-07-25T20:26:03.695000,1658780435.5886793,3,11
7,5,94,55,94,Random,-9999.0,9cdc64c34a376878,23.73199987411499,0.2230000495910644,1658780765.222,55,Lesbian,Moody,Reading,Lesbian,Moody,Lesbian,Moody,Reading,Lesbian,Moody,329.63332056999207,2022-07-25T20:26:05.222000,1658780435.5886793,1,13
8,92,32,63,32,Random,-9999.0,4c6f016c7d4a7203,4.746000051498413,0.2569999694824219,1658780767.031,63,Citizen,Curious,Muslim,Citizen,Curious,Citizen,Curious,Muslim,Citizen,Curious,331.44232058525085,2022-07-25T20:26:07.031000,1658780435.5886793,2,15
9,51,33,19,19,Random,-9999.0,c1e339304d8f3290,6.994000196456909,0.2589998245239258,1658780768.852,33,Immigrant,Weak,Peaceful,Weak,Immigrant,Immigrant,Weak,Peaceful,Weak,Immigrant,333.263320684433,2022-07-25T20:26:08.852000,1658780435.5886793,2,17
10,12,48,55,55,Random,-9999.0,9cdc64c34a376878,3.8289999961853023,0.244999885559082,1658780769.399,48,Sympathetic,Moody,Baby,Moody,Sympathetic,Sympathetic,Moody,Baby,Moody,Sympathetic,333.81032061576843,2022-07-25T20:26:09.399000,1658780435.5886793,2,18
11,11,58,52,52,Random,-9999.0,4c6f016c7d4a7203,2.539999961853028,0.2509999275207519,1658780769.827,58,Flirty,Optimistic,Chess,Optimistic,Flirty,Flirty,Optimistic,Chess,Optimistic,Flirty,334.23832058906555,2022-07-25T20:26:09.827000,1658780435.5886793,3,19
12,85,39,43,39,Random,-9999.0,fe45e6534c29bb04,7.127000093460083,0.186000108718872,1658780771.012,43,Street-smart,Anxious,Socialist,Street-smart,Anxious,Street-smart,Anxious,Socialist,Street-smart,Anxious,335.4233207702637,2022-07-25T20:26:11.012000,1658780435.5886793,4,21
13,62,75,48,48,Random,-9999.0,c1e339304d8f3290,2.4600000381469727,0.2359998226165771,1658780771.557,75,Pilot,Sympathetic,Cynical,Sympathetic,Pilot,Pilot,Sympathetic,Cynical,Sympathetic,Pilot,335.96832060813904,2022-07-25T20:26:11.557000,1658780435.5886793,3,22
14,50,35,25,25,Random,-9999.0,4c6f016c7d4a7203,1.8269999027252195,0.2560000419616699,1658780771.795,35,Middleーclass,Dropout,Sad,Dropout,Middleーclass,Middleーclass,Dropout,Sad,Dropout,Middleーclass,336.2063207626343,2022-07-25T20:26:11.795000,1658780435.5886793,4,23
15,87,63,0,63,Random,-9999.0,9cdc64c34a376878,4.062000036239624,0.2420001029968261,1658780773.715,0,Curious,Driving,Caucasian,Curious,Driving,Curious,Driving,Caucasian,Curious,Driving,338.12632060050964,2022-07-25T20:26:13.715000,1658780435.5886793,3,25
