"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,5.5,4.7,3.78571428571429,3.20833333333333,0.583333333333334,2.03333333333333,6,2.83333333333333,0.0999999999999996,1.875,2.98333333333333,5.5,5.53571428571429,5,4.525,2.04545454545455,5.10714285714286,5.55,5.61538461538461,1.9375,5.5,5.48701298701299,6,3.03333333333333,5.8,2.03333333333333,1.8,1.875,5.625
"2",5.5,0,2.6875,5.6,5.5,5.59722222222222,5.5,1.875,5.39583333333333,6,5.8,5.42222222222222,2.79365079365079,2.58888888888889,3.35714285714286,4.5,5.39393939393939,3.85714285714286,3.75,4.66666666666667,4.76666666666667,3.4,2.375,2.75,5.5,3.39285714285714,5.13333333333333,4.74603174603175,4.75757575757576,4.875
"3",4.7,2.6875,0,5.75,5,5.225,5.1,1.85416666666667,5.6,5.36538461538461,2.7,5.45,2.1875,1.76666666666667,1.41666666666667,3.41666666666667,5.75,4.55,3.83333333333333,3.63333333333333,6,1.25,3.61904761904762,2.36111111111111,5.72321428571429,3.89285714285714,5.75,5.66666666666667,6,4.25
"4",3.78571428571429,5.6,5.75,0,3.35714285714286,4.125,3,4.66666666666667,2.75,3.18571428571429,3.45833333333333,3.35714285714286,6,5.59821428571429,5.5,6,3.68333333333333,5.41666666666667,5.33333333333333,5.40178571428571,2.75,5.575,5.51948051948052,5.71428571428571,3,5.0625,3.375,4,2.875,5.6
"5",3.20833333333333,5.5,5,3.35714285714286,0,2.875,3,5.16666666666667,1.41477272727273,2.9,3.10714285714286,2.70833333333333,5.05357142857143,5.36666666666667,4.975,5.77777777777778,1.76785714285714,5.06818181818182,4.79166666666667,6,2.33333333333333,5,5.3125,5.54166666666667,0.4375,4.66666666666667,3.07142857142857,1.625,2.82142857142857,5.5
"6",0.583333333333334,5.59722222222222,5.225,4.125,2.875,0,1.90909090909091,5.875,2.61904761904762,0.607142857142858,1.5,2.29292929292929,5.8125,5.5,4.83333333333333,5.625,1.40476190476191,4.5,5.33928571428571,5.42857142857143,2.0625,5.91666666666667,4.9,5,1.75,5.25,2.375,1.94047619047619,2.91666666666667,5.5
"7",2.03333333333333,5.5,5.1,3,3,1.90909090909091,0,5.1,3.375,1.9,2.5375,1.8625,5.7,5.275,5.4,5.57142857142857,1.54761904761905,5.13333333333333,5.375,5.70833333333333,1.16666666666667,5.23333333333333,5.5,5.66666666666667,2.875,4.28333333333333,2.45833333333333,2.625,1.875,5
"8",6,1.875,1.85416666666667,4.66666666666667,5.16666666666667,5.875,5.1,0,5.53333333333333,4.67142857142857,5.9375,4.91428571428571,3.33333333333333,2.16666666666667,2,4.25,5.375,4.16666666666667,5.6,3.91666666666667,5.49107142857143,2.66666666666667,2.23076923076923,1.35,4.77777777777778,4.32222222222222,5.22222222222222,5.1,5.30952380952381,4.875
"9",2.83333333333333,5.39583333333333,5.6,2.75,1.41477272727273,2.61904761904762,3.375,5.53333333333333,0,3.575,3.41666666666667,2.175,5.78571428571429,5.25,5.00892857142857,5.9,1.66666666666667,4.79166666666667,6,5.64285714285714,2.75,5.23333333333333,5.41666666666667,5.33333333333333,0.833333333333334,5.38888888888889,2.54464285714286,3.9,2.9,5.41666666666667
"10",0.0999999999999996,6,5.36538461538461,3.18571428571429,2.9,0.607142857142858,1.9,4.67142857142857,3.575,0,1.64285714285714,2.83333333333333,5.4,6,2.9,5.15,0.75,4.9375,5.75,5.25,2.5,5.2,5,5.5125,2.14285714285714,6,2.58333333333333,1.75,2.08333333333333,5.8
"11",1.875,5.8,2.7,3.45833333333333,3.10714285714286,1.5,2.5375,5.9375,3.41666666666667,1.64285714285714,0,1.95,5.75,4.85714285714286,5.7,5.85,3.85,5.28333333333333,5.7,5.5,2.64285714285714,5.54166666666667,6,6,2.74107142857143,5.7,2.25,2.36666666666667,2.33333333333333,5.94444444444444
"12",2.98333333333333,5.42222222222222,5.45,3.35714285714286,2.70833333333333,2.29292929292929,1.8625,4.91428571428571,2.175,2.83333333333333,1.95,0,5.4375,6,5.75,6,1.08333333333333,6,5.88888888888889,5.125,2.0625,5.77777777777778,4.89393939393939,5.5,2.33333333333333,4.54166666666667,2.725,2.3,1.2,5.85714285714286
"13",5.5,2.79365079365079,2.1875,6,5.05357142857143,5.8125,5.7,3.33333333333333,5.78571428571429,5.4,5.75,5.4375,0,4.08333333333333,2.75,3.6,5.65,4.36428571428571,4.08333333333333,4.38888888888889,5.125,3.3,3.42857142857143,2.54545454545455,5.47916666666667,4.8,5.5,6,5.61111111111111,3.79166666666667
"14",5.53571428571429,2.58888888888889,1.76666666666667,5.59821428571429,5.36666666666667,5.5,5.275,2.16666666666667,5.25,6,4.85714285714286,6,4.08333333333333,0,1.88571428571429,4.55357142857143,5.7,1.575,4.66666666666667,4.125,5.625,2.98333333333333,2.11805555555556,3.9375,5.5,2.37142857142857,5.82857142857143,5.5,5.55,4.625
