,alligator,anvil,axe,blindworm,boa,caiman,chameleon,chisel,cobra,crocodile,dinosaur,gecko,grinding disc,hammer,knife,lawn mower,lizard,nail,oilcan,paintbrush,salamander,saw,screwdriver,shovel,snake,spanner,toad,tortoise,turtle,vacuum cleaner
alligator,6.0,0.0,1.4,3.0,3.75,5.0,3.6,0.0,3.5833333333333335,5.8,5.0,2.3333333333333335,1.0,0.5,1.0,2.75,3.909090909090909,0.2857142857142857,0.0,0.0,4.125,1.0,0.5714285714285714,0.0,2.3333333333333335,0.4,3.6,4.0,4.0,0.75
anvil,1.0,6.0,2.375,0.8,0.0,0.25,0.0,3.25,0.8333333333333334,0.0,0.4,0.6,2.5555555555555554,4.222222222222222,1.8571428571428572,1.3333333333333333,0.5454545454545454,2.0,2.25,1.3333333333333333,0.6666666666666666,1.0,5.0,2.5,0.3333333333333333,2.5,0.4,1.2222222222222223,1.6666666666666667,2.25
axe,1.2,4.25,6.0,0.0,0.0,0.8,1.0,4.666666666666667,0.0,0.7692307692307693,6.0,0.6,3.625,3.6666666666666665,4.0,2.6666666666666665,0.5,1.0,3.3333333333333335,2.3333333333333335,0.0,5.0,2.4285714285714284,4.111111111111111,0.42857142857142855,2.7142857142857144,0.0,0.6666666666666666,0.0,1.0
blindworm,1.4285714285714286,0.0,0.5,6.0,3.2857142857142856,2.0,2.5,1.0,4.5,3.2,1.3333333333333333,3.142857142857143,0.0,0.375,0.0,0.0,2.8333333333333335,0.5,0.5555555555555556,0.5714285714285714,3.0,0.6,0.14285714285714285,0.5714285714285714,3.0,0.875,3.0,2.5,3.75,0.0
boa,1.8333333333333333,1.0,2.0,2.0,6.0,3.375,3.0,1.6666666666666667,4.625,3.0,3.5,3.25,0.14285714285714285,0.6666666666666666,0.8,0.4444444444444444,3.7142857142857144,1.5,1.1666666666666667,0.0,3.3333333333333335,1.2,1.125,0.6666666666666666,5.125,1.0,2.5714285714285716,3.75,3.5,1.0
caiman,5.833333333333333,0.5555555555555556,0.75,1.75,2.875,6.0,4.0,0.0,3.4285714285714284,5.285714285714286,4.5,3.6363636363636362,0.125,1.0,1.0,0.75,4.857142857142857,2.25,0.75,0.7142857142857143,3.375,0.0,1.2,1.0,4.5,0.5,3.75,3.8333333333333335,3.6666666666666665,0.0
chameleon,4.333333333333333,1.0,0.8,3.5,3.0,4.181818181818182,6.0,0.8,2.0,4.0,3.8,4.4,0.0,1.2,1.2,0.8571428571428571,4.571428571428571,1.3333333333333333,1.0,0.3333333333333333,4.666666666666667,0.3333333333333333,1.0,0.5,3.25,2.3333333333333335,3.3333333333333335,4.0,4.25,2.0
chisel,0.0,5.0,3.625,1.6666666666666667,0.0,0.25,1.0,6.0,0.3333333333333333,1.8,0.125,0.5714285714285714,2.6666666666666665,4.0,4.0,2.0,0.5,1.0,0.8,2.1666666666666665,0.875,4.666666666666667,3.3076923076923075,4.8,1.4444444444444444,1.8,1.0,1.8,0.6666666666666666,0.375
cobra,2.75,0.375,0.8,2.0,4.545454545454546,3.3333333333333335,3.25,0.6,6.0,3.25,1.6666666666666667,3.25,0.42857142857142855,0.5,0.8571428571428571,0.2,4.166666666666667,1.6666666666666667,0.0,0.7142857142857143,3.5,1.2,0.6666666666666666,1.3333333333333333,4.333333333333333,0.0,3.2857142857142856,1.0,3.4,0.5
crocodile,6.0,0.0,0.5,2.4285714285714284,3.2,5.5,4.2,0.8571428571428571,1.6,6.0,4.714285714285714,3.0,0.2,0.0,0.2,0.2,5.5,0.375,0.0,0.5,2.6666666666666665,1.0,2.0,0.375,4.0,0.0,3.8333333333333335,4.0,3.5,0.4
