,concept,embed_1,embed_2,embed_3,category
0,Alligator,-0.024568615,0.016292544,-0.0035241586,reptile
1,Blindworm,0.21073687,-0.08649883,0.016064454,reptile
2,Boa python,0.4868933,-0.31763873,-0.41840896,reptile
3,Caiman,0.024213213,0.04943879,-0.06801474,reptile
4,Chameleon,0.023035161,0.01625834,0.010197457,reptile
5,Cobra,-0.119764335,0.068679616,0.087357946,reptile
6,Crocodile,-0.013869732,0.006257833,-0.016460193,reptile
7,Dinosaur,-0.24580573,-0.051306404,-0.1894394,reptile
8,Gecko,0.33676577,0.20506252,0.28412458,reptile
9,Lizard,-0.018644359,0.053317107,0.020113409,reptile
10,Salamander,0.19665395,-0.33142337,0.320953,reptile
11,Snake,0.15226038,0.39653686,-0.33572915,reptile
12,Toad,-0.029016692,0.020666052,-0.045120716,reptile
13,Tortoise,0.28223753,0.07910473,-0.22560348,reptile
14,Turtle,-0.045777358,-0.15617317,-0.031031914,reptile
15,Anvil,-0.01926318,0.0046694074,0.0060772216,tool
16,Axe,0.030351099,-0.06208156,-0.040731024,tool
17,Chisel,-0.052918173,0.051640067,-0.009794748,tool
18,Grinding disk,-0.12791163,0.15698512,0.027402654,tool
19,Hammer,-0.017661477,-0.0079570385,0.025771491,tool
20,Knife,0.09707845,0.16919136,0.045311194,tool
21,Lawn Mower,-0.024239928,-0.006662555,-0.0058511184,tool
22,Nail,-0.12574747,0.07461533,-0.24628274,tool
23,Oil can,-0.040570132,-0.14299604,0.005861418,tool
24,Paint brush,-0.19092926,-0.22832784,-0.18474367,tool
25,Saw,-0.065747865,-0.07205344,0.22175701,tool
26,Screwdriver,0.20908292,0.14647663,0.2260376,tool
27,Shovel,-0.122968756,-0.04195278,-0.037056476,tool
28,Spanner,-0.23048565,0.25099227,0.20739847,tool
29,Vacuum,-0.6708616,-0.6785958,0.5790525,tool
