,concept,embed_1,embed_2,embed_3,category
0,Alligator,-0.14292286,-0.1799862,0.23635356,reptile
1,Blindworm,-0.378066,-0.28254285,-0.09482391,reptile
2,Boa python,-0.7685523,-0.75075525,0.76839375,reptile
3,Caiman,-0.14642733,-0.12449298,0.17820728,reptile
4,Chameleon,-0.16445717,-0.079476394,0.15393415,reptile
5,Cobra,-0.111676164,-0.29056793,0.26151884,reptile
6,Crocodile,-0.13691972,-0.19952431,0.2376406,reptile
7,Dinosaur,-0.15153523,-0.18033156,0.26560906,reptile
8,Gecko,-0.21501543,-0.018592559,0.1722496,reptile
9,Lizard,-0.17633466,-0.115250334,0.19839263,reptile
10,Salamander,-0.12642884,-0.08422888,0.10671472,reptile
11,Snake,-0.12341945,-0.24405292,0.28781945,reptile
12,Toad,-0.1294852,-0.0802582,0.12640156,reptile
13,Tortoise,-0.07285519,0.054814544,0.03918299,reptile
14,Turtle,-0.15217265,-0.06358827,0.14487258,reptile
15,Anvil,0.09886782,0.12706725,-0.36884767,tool
16,Axe,0.1595659,0.03282864,-0.28863034,tool
17,Chisel,0.1136902,0.078658044,-0.21263853,tool
18,Grinding disk,0.46848565,0.45235434,-0.7878342,tool
19,Hammer,0.09460565,0.11381204,-0.32269514,tool
20,Knife,0.58664846,-0.49781817,-0.25599736,tool
21,Lawn Mower,0.42844152,0.2895355,0.13267139,tool
22,Nail,0.02198139,0.15538774,-0.41405582,tool
23,Oil can,0.71592635,1.090949,0.5139997,tool
24,Paint brush,-0.49641642,0.76714146,0.012556881,tool
25,Saw,0.3620153,-0.141921,-0.10182293,tool
26,Screwdriver,0.028073194,0.06378871,-0.14783166,tool
27,Shovel,0.120673686,0.013071784,-0.10999705,tool
28,Spanner,0.042324264,0.059798993,-0.15001819,tool
29,Vacuum,0.14771883,0.28092167,0.14410281,tool
