,concept,embed_1,embed_2,embed_3,category
0,Alligator,0.07583183,0.10279329,0.11979622,reptile
1,Blindworm,-0.14017904,0.04212265,0.012127192,reptile
2,Boa python,0.34500358,0.48264846,0.45949638,reptile
3,Caiman,0.11054482,0.17351595,0.1781513,reptile
4,Chameleon,-0.1643197,0.07848727,0.06310934,reptile
5,Cobra,-0.07829091,0.16735561,0.20353231,reptile
6,Crocodile,0.36913088,0.23137446,0.34179023,reptile
7,Dinosaur,0.1366123,0.050223503,0.07863359,reptile
8,Gecko,-0.29036522,0.13249004,0.1256993,reptile
9,Lizard,0.12794298,0.17734103,0.18892461,reptile
10,Salamander,0.14897601,0.23624945,0.18473108,reptile
11,Snake,0.09156288,0.25598955,0.2049362,reptile
12,Toad,0.069234066,0.08121963,0.06484021,reptile
13,Tortoise,-0.18310925,0.18231429,0.16931668,reptile
14,Turtle,0.24775541,0.29854515,0.26210845,reptile
15,Anvil,-0.06675138,-0.05865645,-0.05787127,tool
16,Axe,-0.062150262,-0.09000044,-0.087210506,tool
17,Chisel,-0.10383553,-0.09512713,-0.0949359,tool
18,Grinding disk,0.23883997,-0.48870873,-0.48300573,tool
19,Hammer,-0.05047091,-0.087829225,-0.08469351,tool
20,Knife,-0.2116212,-0.1812929,-0.18927762,tool
21,Lawn Mower,0.1670475,-0.34928212,-0.35565633,tool
22,Nail,-0.08449171,-0.082146294,-0.075565256,tool
23,Oil can,0.11001455,-0.18080366,-0.1576462,tool
24,Paint brush,-0.081373915,-0.17387396,-0.16374752,tool
25,Saw,-0.14569615,-0.18592398,-0.2006367,tool
26,Screwdriver,-0.065559804,-0.04773152,-0.046798572,tool
27,Shovel,-0.04669139,-0.065947,-0.06337677,tool
28,Spanner,-0.04874192,-0.0689534,-0.068201736,tool
29,Vacuum,-0.42741024,-0.38172892,-0.3682048,tool
