,concept,embed_1,embed_2,embed_3,category
0,Alligator,-0.07356384,-0.077207185,0.07449386,reptile
1,Blindworm,-0.05773711,-0.07265757,-0.027371831,reptile
2,Boa python,-0.11656019,-0.10625596,0.14655556,reptile
3,Caiman,-0.13416183,-0.13712113,0.13760658,reptile
4,Chameleon,-0.09600123,-0.091268726,0.07984743,reptile
5,Cobra,-0.08245777,-0.057223298,0.10783783,reptile
6,Crocodile,-0.16275024,-0.17614599,0.19330384,reptile
7,Dinosaur,-0.051072318,-0.056302518,0.062293887,reptile
8,Gecko,-0.049747422,-0.047415767,0.061418172,reptile
9,Lizard,-0.14258614,-0.14959581,0.14302385,reptile
10,Salamander,-0.13401051,-0.13012657,0.12846301,reptile
11,Snake,-0.19275472,-0.18085104,0.19606803,reptile
12,Toad,-0.14000395,-0.15422848,0.13479412,reptile
13,Tortoise,-0.06306802,-0.061958507,0.035710055,reptile
14,Turtle,-0.29616687,-0.29464963,0.28783017,reptile
15,Anvil,0.0434058,0.03704884,-0.036725104,tool
16,Axe,0.077162646,0.07801218,-0.07519138,tool
17,Chisel,0.099156424,0.09730213,-0.099315405,tool
18,Grinding disk,0.32414377,0.3359116,-0.33579457,tool
19,Hammer,0.06713292,0.06595784,-0.058492582,tool
20,Knife,0.053366967,0.13735521,-0.10485513,tool
21,Lawn Mower,0.07045584,0.13452591,-0.12111438,tool
22,Nail,0.10096354,0.0845366,-0.08664932,tool
23,Oil can,0.14768516,0.09586716,-0.102005675,tool
24,Paint brush,0.17765653,0.07193875,-0.08808509,tool
25,Saw,0.18177272,0.21641856,-0.2088738,tool
26,Screwdriver,0.015480956,0.024106614,-0.022421746,tool
27,Shovel,0.15105706,0.10159289,-0.1107799,tool
28,Spanner,0.11790737,0.1617805,-0.15516108,tool
29,Vacuum,0.24702427,0.22508721,-0.22294468,tool
