,concept,embed_1,embed_2,embed_3,category
0,Alligator,0.07842118,0.056436773,0.10090473,reptile
1,Blindworm,0.27310765,0.29915163,0.09539112,reptile
2,Boa python,0.17944351,0.061162405,0.21592107,reptile
3,Caiman,0.10291319,0.047713306,0.12327512,reptile
4,Chameleon,0.08195871,0.09490256,0.061695937,reptile
5,Cobra,0.1059388,0.11095264,0.064392984,reptile
6,Crocodile,0.08611772,0.062094003,0.11719358,reptile
7,Dinosaur,0.12565902,0.026425757,0.199359,reptile
8,Gecko,0.1091707,0.10412926,0.088407494,reptile
9,Lizard,0.11966241,0.10322704,0.13286729,reptile
10,Salamander,0.13183793,0.14463921,0.1166741,reptile
11,Snake,0.16689502,0.10780123,0.17183217,reptile
12,Toad,0.08197403,0.059883803,0.08945375,reptile
13,Tortoise,0.11137972,0.10205065,0.13662894,reptile
14,Turtle,0.072791226,0.09256476,0.076454006,reptile
15,Anvil,-0.11263618,-0.052560568,-0.06427206,tool
16,Axe,-0.052537937,-0.08354895,-0.022827186,tool
17,Chisel,-0.0694435,-0.09997994,-0.04621114,tool
18,Grinding disk,-0.33691445,-0.26142037,-0.31723893,tool
19,Hammer,-0.12760422,-0.054073505,-0.101941966,tool
20,Knife,-0.069678396,-0.119926915,-0.08357242,tool
21,Lawn Mower,-0.2848857,-0.3785273,0.25505346,tool
22,Nail,-0.10645442,-0.0753352,-0.12199788,tool
23,Oil can,-0.07859856,0.04093859,-0.17266104,tool
24,Paint brush,-0.2432966,0.12971771,-0.32375622,tool
25,Saw,-0.052390445,-0.109835416,-0.023469804,tool
26,Screwdriver,-0.13876899,-0.08709501,-0.21122114,tool
27,Shovel,-0.09861223,-0.24372801,-0.02140426,tool
28,Spanner,-0.119805604,-0.1778186,-0.22344905,tool
29,Vacuum,0.04415726,0.17807233,-0.16282833,tool
