,concept,embed_1,embed_2,embed_3,category
0,Alligator,-0.059917696,-0.2185962,0.14839941,reptile
1,Blindworm,0.6430416,-0.9292735,0.8105258,reptile
2,Boa python,-0.32992366,-0.399788,0.3015688,reptile
3,Caiman,-0.089689896,-0.15964763,0.13855095,reptile
4,Chameleon,-0.006950232,-0.15468685,0.1260863,reptile
5,Cobra,0.020485427,-0.08278682,0.06979335,reptile
6,Crocodile,-0.03714598,-0.15133776,0.11222081,reptile
7,Dinosaur,-0.06636077,-0.20048793,0.13612013,reptile
8,Gecko,0.2574459,-0.20280786,0.17508043,reptile
9,Lizard,-0.019653276,-0.17306031,0.15300857,reptile
10,Salamander,0.045599457,-0.28260094,0.2603988,reptile
11,Snake,0.025372393,-0.2611615,0.17325383,reptile
12,Toad,-0.1266001,-0.2660378,0.41491374,reptile
13,Tortoise,-0.14021151,-0.1116988,0.2328915,reptile
14,Turtle,-0.039261114,-0.17573437,0.15324736,reptile
15,Anvil,0.034581084,0.053464424,-0.060863376,tool
16,Axe,0.054422073,0.18497221,-0.22895959,tool
17,Chisel,0.020140203,0.16058406,-0.15171723,tool
18,Grinding disk,-0.5832342,1.1024715,-0.14730127,tool
19,Hammer,0.0073905094,0.23875077,-0.17968442,tool
20,Knife,0.053352952,0.19813101,-0.24296209,tool
21,Lawn Mower,0.8447164,-0.07566937,-0.9586031,tool
22,Nail,0.09588602,0.37022275,-0.113859214,tool
23,Oil can,-0.9576406,0.44180918,0.72218543,tool
24,Paint brush,-0.6953851,0.67516416,-0.5326474,tool
25,Saw,0.068798244,0.1561953,-0.1627556,tool
26,Screwdriver,-0.022531867,0.32009825,-0.203462,tool
27,Shovel,0.10877345,0.040435918,-0.19697227,tool
28,Spanner,-0.004211616,0.16111408,-0.19555208,tool
29,Vacuum,0.5116398,-0.12562907,-0.53699356,tool
