"matrix2","leuven","w2v","clip","unverified_gpt_summer_no_mc","verified_gpt_summer_no_mc","human_triplet","gpt_triplet","gpt_embed_mds","human_pairwise_mds","gpt_003_pairwise_mds","flan_xxl_triplet_mds","flan_ul2_triplet_mds","flan_ul2_pairwise_mds","gpt_002_pairwise_dsm","flan_xxl_dsm","gpt_003_triplet_dsm"
"1","leuven","1","0.794627612494945","0.443735768182623","0.542270337606288","0.94108441329166","0.979492876320499","0.904482631268341","0.697724531428692","0.914984303104835","0.486301782601238","0.314493736457686","0.0929748144059185","0.495486887179956","0.569868624510982","0.938105648258674","0.938480687259187"
"2","w2v","0.794627612494947","1","0.431019348069205","0.480230814770516","0.774665892869526","0.757885360090968","0.752719113896279","0.656025175981239","0.778555743840446","0.513462327830684","0.290952587192595","0.189914961679592","0.48958113857303","0.522890081766606","0.785963972326774","0.743054883050467"
"3","clip","0.443735768182623","0.431019348069204","1","0.645429313564526","0.532025023996258","0.351231885432552","0.444533633844745","0.66484014629508","0.573426626519473","0.624486884513034","0.261773662468281","0.231546909572302","0.650007283888575","0.631619456361112","0.562227331649973","0.390096637145204"
"4","unverified_gpt_summer_no_mc","0.542270337606288","0.480230814770515","0.645429313564526","0.999999999999999","0.694721461613787","0.412128762194143","0.456605508410078","0.864951772728701","0.727710471739166","0.743741593261359","0.313044793541426","0.283562148293354","0.887608972328615","0.795558333033854","0.731462952728853","0.441413009248349"
"5","verified_gpt_summer_no_mc","0.94108441329166","0.774665892869525","0.532025023996258","0.694721461613787","1","0.885419692522837","0.848318668714218","0.813094919898385","0.936030561701825","0.617456959384226","0.346375988099891","0.16037629170609","0.64761268230803","0.684288107382484","0.96385038768156","0.867826944866571"
"6","human_triplet","0.9794928763205","0.757885360090967","0.351231885432551","0.412128762194142","0.885419692522836","1","0.894441875980071","0.573102393738668","0.846012427700431","0.370265334207137","0.278427687652345","0.0454466372576329","0.354740749015909","0.444148208061222","0.874737093329799","0.939911138246526"
"7","gpt_triplet","0.904482631268341","0.752719113896277","0.444533633844745","0.456605508410078","0.848318668714218","0.894441875980071","1","0.624528566634936","0.831863750626168","0.449279469858149","0.34316736536236","0.0971982609614097","0.429015120746861","0.496514150776797","0.855976187934911","0.89380508120559"
"8","gpt_embed_mds","0.697724531428692","0.656025175981238","0.66484014629508","0.864951772728701","0.813094919898386","0.573102393738669","0.624528566634936","1","0.842435443431653","0.764911659651014","0.323204567968617","0.288137060442118","0.860110873012442","0.819701264832162","0.824549605605422","0.593108967462172"
"9","human_pairwise_mds","0.914984303104836","0.778555743840445","0.573426626519472","0.727710471739166","0.936030561701825","0.846012427700431","0.831863750626168","0.842435443431653","1","0.644574263235902","0.368549703152588","0.198577044079166","0.697827396357504","0.713047476135416","0.944928200285304","0.837538614259866"
"10","gpt_003_pairwise_mds","0.486301782601238","0.513462327830683","0.624486884513034","0.743741593261358","0.617456959384226","0.370265334207137","0.449279469858148","0.764911659651013","0.644574263235902","1","0.313814115210018","0.284883906647996","0.742176519457931","0.798153413054845","0.63614062484316","0.446419447108705"
"11","flan_xxl_triplet_mds","0.314493736457686","0.290952587192594","0.261773662468281","0.313044793541426","0.346375988099891","0.278427687652346","0.34316736536236","0.323204567968617","0.368549703152588","0.313814115210019","1","0.242246499212626","0.354268483894248","0.335540079822958","0.345780786094002","0.255356211880179"
"12","flan_ul2_triplet_mds","0.0929748144059197","0.189914961679593","0.231546909572302","0.283562148293354","0.16037629170609","0.0454466372576378","0.0971982609614097","0.288137060442119","0.198577044079165","0.284883906647997","0.242246499212627","1","0.354333146994454","0.314332849801613","0.153007350632253","0.131333688811804"
"13","flan_ul2_pairwise_mds","0.495486887179956","0.48958113857303","0.650007283888575","0.887608972328616","0.64761268230803","0.35474074901591","0.429015120746861","0.860110873012442","0.697827396357504","0.74217651945793","0.354268483894247","0.354333146994454","1","0.803832743955863","0.678387689948755","0.391822335784076"
"14","gpt_002_pairwise_dsm","0.569868624510982","0.522890081766604","0.631619456361112","0.795558333033854","0.684288107382484","0.444148208061222","0.496514150776796","0.819701264832162","0.713047476135416","0.798153413054845","0.335540079822958","0.314332849801612","0.803832743955863","1","0.704235286024276","0.481768861074007"
"15","flan_xxl_dsm","0.938105648258674","0.785963972326772","0.562227331649974","0.731462952728853","0.96385038768156","0.874737093329798","0.85597618793491","0.824549605605422","0.944928200285304","0.63614062484316","0.345780786094002","0.153007350632252","0.678387689948755","0.704235286024276","1","0.862065431249285"
"16","gpt_003_triplet_dsm","0.938480687259187","0.743054883050465","0.390096637145204","0.441413009248349","0.867826944866572","0.939911138246526","0.89380508120559","0.593108967462171","0.837538614259866","0.446419447108705","0.255356211880179","0.131333688811802","0.391822335784076","0.481768861074007","0.862065431249285","1"
