"matrix2","leuven","w2v","clip","unverified_gpt_summer_no_mc","verified_gpt_summer_no_mc","human_triplet","gpt_triplet","gpt_embed_mds","flan_xl_mds","flan_xxl_mds","human_pairwise_mds","gpt_003_pairwise_mds","flan_xxl_triplet_mds","flan_xxl_cot_triplet_mds","flan_ul2_triplet_mds","flan_ul2_cot_triplet_mds","gpt_003_cot_triplet_mds","gpt_002_cot_triplet_mds","flan_ul2_pairwise_mds","flan_ul2_cot_pairwise_mds","gpt_003_pairwise_cot_mds","gpt_002_pairwise_cot_mds"
"1","leuven","1","0.819217954090826","0.49817605879863","0.732086098530751","0.907636013880671","0.946689960158281","0.650432632076241","0.770313894616112","0.826878269045637","0.911873691643519","0.889865357416519","0.618771323846032","0.348520546383766","0.829538735200481","0.258184936251931","0.625063217758812","0.785561216040545","0.765493201638848","0.642414827144908","0.626815253825437","0.460427285925872","0.573530816688485"
"2","w2v","0.819217954090826","1","0.487138558070134","0.642068666907953","0.782122416777856","0.740896480455933","0.565669416326972","0.718722453161251","0.775801195164981","0.832591768018113","0.81273079222204","0.67083761491427","0.296403728951089","0.679166442565046","0.293957590452197","0.602873706732029","0.622563529783258","0.651929859675094","0.688542472911497","0.689951653140185","0.503998871799606","0.524323869420167"
"3","clip","0.498176058798629","0.487138558070134","1","0.496397383817946","0.501464420395802","0.437403610959942","0.455010623778921","0.589916435678213","0.433258426717337","0.48966629930457","0.511590440180162","0.602717684080181","0.255780338498971","0.410053782819999","0.26334271200518","0.304286122684274","0.323914042318141","0.463031352803738","0.557393397538904","0.433463735615368","0.373405501725395","0.401096023125374"
"4","unverified_gpt_summer_no_mc","0.732086098530752","0.642068666907953","0.496397383817945","1","0.685382926327927","0.636815992336449","0.477399921682255","0.718741723245974","0.622451314185466","0.68359213829987","0.636777384910208","0.637677143588171","0.232680967177312","0.585405253321036","0.267237746090642","0.386173746108691","0.568114223713986","0.557111922587446","0.564793794446445","0.448989192986751","0.443118213434492","0.532956767149338"
"5","verified_gpt_summer_no_mc","0.907636013880672","0.782122416777856","0.501464420395802","0.685382926327928","1","0.857504558136223","0.67252932169914","0.814409580047888","0.867238316224568","0.942735291782094","0.888978172681227","0.685593543647747","0.350408704598874","0.774104644134582","0.249703890988001","0.6602945750697","0.768997419717364","0.778339309840053","0.650397998648655","0.604747230219811","0.532657001626762","0.547345915610267"
"6","human_triplet","0.946689960158281","0.740896480455933","0.437403610959942","0.636815992336449","0.857504558136223","1","0.589747305565411","0.665806309231855","0.768274085409671","0.843168359404976","0.821405576975624","0.484442953952377","0.341480476320593","0.857636680876386","0.230224604309926","0.61361888991368","0.789910132934552","0.752731843058688","0.540551225067079","0.553087900588207","0.380281706969649","0.540176585778395"
"7","gpt_triplet","0.650432632076241","0.565669416326972","0.455010623778921","0.477399921682256","0.67252932169914","0.589747305565411","0.999999999999999","0.613608468311081","0.587945073911967","0.620837927262695","0.666929413651561","0.562441195026041","0.499095895578807","0.562101010076888","0.307574530156078","0.453547195852223","0.683544441624031","0.517876279019271","0.527648445336684","0.481066824922378","0.410068422603849","0.478551478601673"
"8","gpt_embed_mds","0.770313894616112","0.718722453161251","0.589916435678213","0.718741723245974","0.814409580047888","0.665806309231855","0.613608468311081","1","0.751571836984018","0.800984746566666","0.836856320169228","0.723306577548554","0.408502565935785","0.608723758638336","0.228242997432055","0.593076068014838","0.617794715788244","0.679306577843824","0.713181626661918","0.526618953750673","0.55618132333958","0.586854714930197"
"9","flan_xl_mds","0.826878269045636","0.775801195164981","0.433258426717337","0.622451314185466","0.867238316224568","0.768274085409672","0.587945073911967","0.751571836984018","1","0.872766424314721","0.828131479592131","0.640839261828893","0.371409925414016","0.716225534173284","0.216698116888323","0.668054678505444","0.698662037008999","0.688660151812084","0.592050826005314","0.591891333326689","0.519482433303158","0.543891506023019"
"10","flan_xxl_mds","0.911873691643519","0.832591768018113","0.48966629930457","0.68359213829987","0.942735291782094","0.843168359404976","0.620837927262695","0.800984746566666","0.872766424314721","1","0.902127044263552","0.709701719400391","0.366114129175231","0.776380195092587","0.275801275092108","0.670800733281186","0.732998442649274","0.754951186494311","0.684187509922195","0.683320474871349","0.568624127097337","0.570417513653444"
"11","human_pairwise_mds","0.889865357416519","0.81273079222204","0.511590440180161","0.636777384910208","0.888978172681226","0.821405576975624","0.666929413651561","0.836856320169227","0.828131479592131","0.902127044263553","1","0.689651281206621","0.372186122588425","0.745277386595264","0.244076044304493","0.725167672154211","0.749310330719082","0.748319610412509","0.627144972286218","0.641382173294755","0.559783113190742","0.609677652698193"
"12","gpt_003_pairwise_mds","0.618771323846032","0.67083761491427","0.602717684080181","0.637677143588171","0.685593543647747","0.484442953952377","0.562441195026041","0.723306577548554","0.640839261828893","0.709701719400391","0.689651281206621","1","0.361217860818692","0.461387820642608","0.238792250046061","0.518049434579302","0.444433953284193","0.487163142921466","0.658870489533805","0.544578518929009","0.607558220154571","0.448063622921731"
"13","flan_xxl_triplet_mds","0.348520546383766","0.296403728951089","0.255780338498971","0.232680967177312","0.350408704598874","0.341480476320593","0.499095895578807","0.408502565935785","0.371409925414016","0.366114129175231","0.372186122588425","0.361217860818692","1","0.367550728336165","0.37500014210047","0.39334458907035","0.454379188627958","0.364896683822451","0.336648732812459","0.316772121710005","0.29797313093147","0.395649222106504"
"14","flan_xxl_cot_triplet_mds","0.829538735200481","0.679166442565046","0.410053782819999","0.585405253321036","0.774104644134582","0.857636680876386","0.562101010076888","0.608723758638336","0.716225534173284","0.776380195092587","0.745277386595263","0.461387820642608","0.367550728336166","1","0.317641361215003","0.616526477402786","0.704566662333193","0.707312940552408","0.492240921264234","0.512772667242732","0.388220126360906","0.498645897625312"
"15","flan_ul2_triplet_mds","0.258184936251931","0.293957590452198","0.26334271200518","0.267237746090643","0.249703890988001","0.230224604309926","0.307574530156078","0.228242997432055","0.216698116888323","0.275801275092108","0.244076044304492","0.238792250046061","0.37500014210047","0.317641361215002","1","0.412661876087485","0.211143675266121","0.244130317067683","0.364496515831983","0.27431942856232","0.301742769861346","0.314178674011983"
"16","flan_ul2_cot_triplet_mds","0.625063217758812","0.602873706732029","0.304286122684274","0.386173746108691","0.6602945750697","0.61361888991368","0.453547195852222","0.593076068014838","0.668054678505444","0.670800733281186","0.725167672154211","0.518049434579302","0.39334458907035","0.616526477402786","0.412661876087485","1","0.705702491333098","0.664875948172205","0.500355246230062","0.487211225315221","0.486988590035638","0.414259768906374"
"17","gpt_003_cot_triplet_mds","0.785561216040545","0.622563529783257","0.323914042318142","0.568114223713986","0.768997419717364","0.789910132934552","0.683544441624031","0.617794715788244","0.698662037008999","0.732998442649274","0.749310330719081","0.444433953284193","0.454379188627959","0.704566662333193","0.211143675266121","0.705702491333098","1","0.701754552168429","0.483339803445239","0.472292148398586","0.415426188591472","0.462405567777444"
"18","gpt_002_cot_triplet_mds","0.765493201638848","0.651929859675094","0.463031352803738","0.557111922587446","0.778339309840053","0.752731843058688","0.517876279019271","0.679306577843824","0.688660151812085","0.754951186494311","0.748319610412509","0.487163142921466","0.364896683822451","0.707312940552408","0.244130317067683","0.664875948172206","0.701754552168428","1","0.431098368382398","0.477338273879567","0.396119003220572","0.538251207569978"
"19","flan_ul2_pairwise_mds","0.642414827144908","0.688542472911497","0.557393397538903","0.564793794446445","0.650397998648655","0.540551225067079","0.527648445336684","0.713181626661918","0.592050826005314","0.684187509922195","0.627144972286218","0.658870489533805","0.336648732812459","0.492240921264233","0.364496515831982","0.500355246230063","0.483339803445238","0.431098368382398","1","0.691297203474038","0.439075013769852","0.484387152623263"
"20","flan_ul2_cot_pairwise_mds","0.626815253825437","0.689951653140185","0.433463735615368","0.448989192986752","0.604747230219811","0.553087900588207","0.481066824922378","0.526618953750673","0.591891333326689","0.683320474871349","0.641382173294755","0.54457851892901","0.316772121710005","0.512772667242732","0.27431942856232","0.487211225315221","0.472292148398586","0.477338273879567","0.691297203474039","1","0.392123842350752","0.530487025057572"
