"matrix2","leuven","w2v","clip","unverified_gpt_summer_no_mc","verified_gpt_summer_no_mc","human_triplet","gpt_triplet","gpt_embed_mds","flan_xl_mds","flan_xxl_mds","human_pairwise_mds","gpt_003_pairwise_mds","flan_xxl_triplet_mds","flan_xxl_cot_triplet_mds","flan_ul2_triplet_mds","flan_ul2_cot_triplet_mds","gpt_003_cot_triplet_mds","gpt_002_cot_triplet_mds","flan_ul2_pairwise_mds","flan_ul2_cot_pairwise_mds","gpt_003_pairwise_cot_mds","gpt_002_pairwise_cot_mds"
"1","leuven","1","0.794627612494945","0.443735768182623","0.542270337606288","0.94108441329166","0.979492876320499","0.904482631268341","0.697724531428692","0.797320626015131","0.938105648258674","0.914984303104835","0.486301782601238","0.314493736457686","0.978432476680943","0.0929748144059185","0.93179017165202","0.971802945786008","0.95431301354493","0.495486887179956","0.55006066489582","0.399393901638982","0.492604589736936"
"2","w2v","0.794627612494947","1","0.431019348069205","0.480230814770516","0.774665892869526","0.757885360090968","0.752719113896279","0.656025175981239","0.683891578235163","0.785963972326774","0.778555743840446","0.513462327830684","0.290952587192595","0.766479597187881","0.189914961679592","0.799062180489281","0.770971325700092","0.757066458608144","0.48958113857303","0.555126689993118","0.40616819425489","0.45665918456159"
"3","clip","0.443735768182623","0.431019348069204","1","0.645429313564526","0.532025023996258","0.351231885432552","0.444533633844745","0.66484014629508","0.559684876175602","0.562227331649973","0.573426626519473","0.624486884513034","0.261773662468281","0.363315727094898","0.231546909572302","0.431824804733329","0.382383120216805","0.395855196925462","0.650007283888575","0.607469698878206","0.556728032106458","0.579843630434697"
"4","unverified_gpt_summer_no_mc","0.542270337606288","0.480230814770515","0.645429313564526","0.999999999999999","0.694721461613787","0.412128762194143","0.456605508410078","0.864951772728701","0.778966215593809","0.731462952728853","0.727710471739166","0.743741593261359","0.313044793541426","0.420401787576982","0.283562148293354","0.454303091173265","0.443744172712953","0.436696129192624","0.887608972328615","0.852903137212279","0.828592861942096","0.857095542725928"
"5","verified_gpt_summer_no_mc","0.94108441329166","0.774665892869525","0.532025023996258","0.694721461613787","1","0.885419692522837","0.848318668714218","0.813094919898385","0.860641810846642","0.96385038768156","0.936030561701825","0.617456959384226","0.346375988099891","0.891567734996394","0.16037629170609","0.872722184857073","0.891451317031743","0.87481746404052","0.64761268230803","0.676584074727719","0.561707497246135","0.623816246492571"
"6","human_triplet","0.9794928763205","0.757885360090967","0.351231885432551","0.412128762194142","0.885419692522836","1","0.894441875980071","0.573102393738668","0.724744068903741","0.874737093329799","0.846012427700431","0.370265334207137","0.278427687652345","0.99717973658906","0.0454466372576329","0.920041678554974","0.982495447420576","0.955779797381523","0.354740749015909","0.425914743149137","0.272883966969892","0.372619436720786"
"7","gpt_triplet","0.904482631268341","0.752719113896277","0.444533633844745","0.456605508410078","0.848318668714218","0.894441875980071","1","0.624528566634936","0.718301567963114","0.855976187934911","0.831863750626168","0.449279469858149","0.34316736536236","0.896722658860392","0.0971982609614097","0.893645887423776","0.915354139475484","0.885983603206494","0.429015120746861","0.497395754887757","0.364116265379349","0.432344515186519"
"8","gpt_embed_mds","0.697724531428692","0.656025175981238","0.66484014629508","0.864951772728701","0.813094919898386","0.573102393738669","0.624528566634936","1","0.806061385654081","0.824549605605422","0.842435443431653","0.764911659651014","0.323204567968617","0.582698692996984","0.288137060442118","0.631881018639014","0.601955427509835","0.589115702025619","0.860110873012442","0.816359593277225","0.75503025929949","0.771554829931806"
"9","flan_xl_mds","0.797320626015131","0.683891578235162","0.559684876175602","0.778966215593809","0.860641810846642","0.724744068903741","0.718301567963115","0.806061385654081","1","0.875566339361303","0.85943263474825","0.641676843698417","0.351110982704808","0.72934741137065","0.228778582035146","0.727842439516274","0.747166192163238","0.731564824394189","0.705182256624309","0.729358800734215","0.638010940655441","0.700381425873688"
"10","flan_xxl_mds","0.938105648258674","0.785963972326772","0.562227331649974","0.731462952728853","0.96385038768156","0.874737093329798","0.85597618793491","0.824549605605422","0.875566339361303","1","0.944928200285304","0.63614062484316","0.345780786094002","0.882963596558041","0.153007350632252","0.870318338052207","0.884205699497463","0.873915663707307","0.678387689948755","0.709489853277424","0.590925529522934","0.665832087575412"
"11","human_pairwise_mds","0.914984303104836","0.778555743840445","0.573426626519472","0.727710471739166","0.936030561701825","0.846012427700431","0.831863750626168","0.842435443431653","0.85943263474825","0.944928200285304","1","0.644574263235902","0.368549703152588","0.853406728775959","0.198577044079166","0.865003451965562","0.859359324737311","0.851701588996348","0.697827396357504","0.731639994910051","0.60972581046458","0.669568923747484"
"12","gpt_003_pairwise_mds","0.486301782601238","0.513462327830683","0.624486884513034","0.743741593261358","0.617456959384226","0.370265334207137","0.449279469858148","0.764911659651013","0.641676843698417","0.63614062484316","0.644574263235902","1","0.313814115210018","0.379811408716197","0.284883906647996","0.452909388360904","0.406881357138605","0.404197344332025","0.742176519457931","0.73022571253594","0.689741341857811","0.67890777341486"
"13","flan_xxl_triplet_mds","0.314493736457686","0.290952587192594","0.261773662468281","0.313044793541426","0.346375988099891","0.278427687652346","0.34316736536236","0.323204567968617","0.351110982704808","0.345780786094002","0.368549703152588","0.313814115210019","1","0.281697499616637","0.242246499212626","0.279804236586517","0.331848971875163","0.28063632071053","0.354268483894248","0.353036091771543","0.359939572889283","0.350801253917214"
"14","flan_xxl_cot_triplet_mds","0.978432476680943","0.766479597187879","0.363315727094898","0.420401787576982","0.891567734996394","0.99717973658906","0.896722658860392","0.582698692996984","0.72934741137065","0.882963596558041","0.853406728775959","0.379811408716197","0.281697499616637","1","0.0602595682843493","0.929131195845072","0.979108305062063","0.955528377211565","0.36962306734876","0.441647846412208","0.28563423774577","0.383137189015248"
"15","flan_ul2_triplet_mds","0.0929748144059197","0.189914961679593","0.231546909572302","0.283562148293354","0.16037629170609","0.0454466372576378","0.0971982609614097","0.288137060442119","0.228778582035147","0.153007350632253","0.198577044079165","0.284883906647997","0.242246499212627","0.0602595682843512","1","0.166342815188826","0.0740063943282501","0.0626665437308108","0.354333146994454","0.320773287031581","0.303454761346951","0.272459966693568"
"16","flan_ul2_cot_triplet_mds","0.931790171652021","0.799062180489279","0.431824804733329","0.454303091173265","0.872722184857073","0.920041678554974","0.893645887423776","0.631881018639014","0.727842439516273","0.870318338052207","0.865003451965562","0.452909388360904","0.279804236586516","0.929131195845072","0.166342815188825","1","0.922715572294145","0.938278877766064","0.425214736286269","0.5163971389969","0.369368839629788","0.416337084069629"
"17","gpt_003_cot_triplet_mds","0.971802945786008","0.77097132570009","0.382383120216805","0.443744172712953","0.891451317031743","0.982495447420576","0.915354139475484","0.601955427509835","0.747166192163238","0.884205699497464","0.859359324737311","0.406881357138605","0.331848971875163","0.979108305062064","0.0740063943282501","0.922715572294145","1","0.947561840814356","0.394285810733749","0.459630823668062","0.313397290131458","0.40590947315363"
"18","gpt_002_cot_triplet_mds","0.95431301354493","0.757066458608143","0.395855196925461","0.436696129192624","0.87481746404052","0.955779797381523","0.885983603206493","0.589115702025619","0.731564824394189","0.873915663707307","0.851701588996348","0.404197344332025","0.28063632071053","0.955528377211565","0.0626665437308091","0.938278877766064","0.947561840814356","1","0.385534367737109","0.465516844592964","0.305752995162484","0.413038069864433"
"19","flan_ul2_pairwise_mds","0.495486887179956","0.48958113857303","0.650007283888575","0.887608972328616","0.64761268230803","0.35474074901591","0.429015120746861","0.860110873012442","0.705182256624309","0.678387689948755","0.697827396357504","0.74217651945793","0.354268483894247","0.36962306734876","0.354333146994454","0.425214736286269","0.394285810733749","0.385534367737109","1","0.867607438982449","0.812022935073269","0.814353443058513"
"20","flan_ul2_cot_pairwise_mds","0.55006066489582","0.555126689993117","0.607469698878206","0.852903137212279","0.676584074727719","0.425914743149137","0.497395754887756","0.816359593277225","0.729358800734215","0.709489853277424","0.73163999491005","0.73022571253594","0.353036091771543","0.441647846412209","0.32077328703158","0.5163971389969","0.459630823668062","0.465516844592964","0.867607438982449","1","0.755511131438869","0.779383627026753"
