,Concept,Feature,prompt,gpt_response
0,leech,used_to_travel_to_other_planets,"Turn into a question that starts with Do, Are, Can
 leech used to travel to other planets","?

Can leech used to travel to other planets?"
1,leech,is_sexy,"Turn into a question that starts with Do, Are, Can
 leech is sexy","

Can leech is sexy?"
2,leech,does_not_live_in_Belgium,"Turn into a question that starts with Do, Are, Can
 leech does not live in Belgium","

Can leech does not live in Belgium."
3,leech,is_a_home_appliance,"Turn into a question that starts with Do, Are, Can
 leech is a home appliance","?

Can leech is a verb?"
4,leech,used_to_look_nicer,"Turn into a question that starts with Do, Are, Can
 leech used to look nicer","

Can leech used to look nicer?"
5,leech,is_a_carnivore_and_herbivore,"Turn into a question that starts with Do, Are, Can
 leech is a carnivore and herbivore","?

Can leech is a carnivore and herbivore?"
6,leech,used_to_climb,"Turn into a question that starts with Do, Are, Can
 leech used to climb","?

Can leech used to climb?"
7,leech,has_a_fin_on_its_back,"Turn into a question that starts with Do, Are, Can
 leech has a fin on its back","?

Yes, leech has a fin on its back."
8,flatfish,does_not_live_in_Belgium,"Turn into a question that starts with Do, Are, Can
 flatfish does not live in Belgium","

Do flatfish live in Belgium?"
9,flatfish,used_to_travel_to_other_planets,"Turn into a question that starts with Do, Are, Can
 flatfish used to travel to other planets","?

Yes, flatfish can travel to other planets."
10,flatfish,has_a_fin_on_its_back,"Turn into a question that starts with Do, Are, Can
 flatfish has a fin on its back","?

Yes, flatfish has a fin on its back."
11,flatfish,used_to_look_nicer,"Turn into a question that starts with Do, Are, Can
 flatfish used to look nicer","?

What do you think flatfish look nicer with?"
12,leech,has_to_be_put_in_socket,"Turn into a question that starts with Do, Are, Can
 leech has to be put in socket","

What are the three conditions for leech?

-The leech must be put in a socket
-The leech must be in a creature
-The leech must be in the area"
13,flatfish,used_to_climb,"Turn into a question that starts with Do, Are, Can
 flatfish used to climb","?

Can flatfish climb?"
14,flatfish,is_a_carnivore_and_herbivore,"Turn into a question that starts with Do, Are, Can
 flatfish is a carnivore and herbivore","?

Do flatfish are a carnivore and herbivore?"
15,flatfish,has_to_be_put_in_socket,"Turn into a question that starts with Do, Are, Can
 flatfish has to be put in socket","

What is the difference between a flatfish and a fish?"
16,leech,resembles_horses,"Turn into a question that starts with Do, Are, Can
 leech resembles horses","?

Yes, horses and leeches share a lot of similarities. For one, they both have a long, thin body with a long tail. They also have a long neck and a long head."
