,Concept,Feature,prompt,gpt_response
0,harpsichord,is_refreshing_in_the_summer,"Turn into a question that starts with Do, Are, Can
 harpsichord is refreshing in the summer","

Do harpsichords make a refreshing sound in the summer?"
1,harpsichord,used_to_make_coffee,"Turn into a question that starts with Do, Are, Can
 harpsichord used to make coffee","

Do harpsichords make coffee?"
2,harpsichord,you_roast_meat_in_it,"Turn into a question that starts with Do, Are, Can
 harpsichord you roast meat in it","

Can you roast meat in a harpsichord?"
3,harpsichord,is_airy,"Turn into a question that starts with Do, Are, Can
 harpsichord is airy","

Can a harpsichord be made airier?"
4,harpsichord,can_be_knit_by_yourself,"Turn into a question that starts with Do, Are, Can
 harpsichord can be knit by yourself","

Can harpsichord be knit by yourself?"
5,harpsichord,has_many_teeth,"Turn into a question that starts with Do, Are, Can
 harpsichord has many teeth","

Do harpsichords have many teeth?"
6,harpsichord,is_a_delicacy,"Turn into a question that starts with Do, Are, Can
 harpsichord is a delicacy","

Do harpsichords taste good?"
7,harpsichord,is_worn_on_the_upper_part_of_your_body,"Turn into a question that starts with Do, Are, Can
 harpsichord is worn on the upper part of your body","

Do harpsichords have straps?"
8,harpsichord,is_straight,"Turn into a question that starts with Do, Are, Can
 harpsichord is straight","

Do harpsichords have strings that are perpendicular to the soundboard?"
9,harpsichord,used_by_sculptors,"Turn into a question that starts with Do, Are, Can
 harpsichord used by sculptors","

Do sculptors use the harpsichord in their work?"
10,python,has_many_teeth,"Turn into a question that starts with Do, Are, Can
 python has many teeth","

Do Python have many teeth?"
11,python,is_airy,"Turn into a question that starts with Do, Are, Can
 python is airy","

Can Python be airy?"
12,python,can_be_knit_by_yourself,"Turn into a question that starts with Do, Are, Can
 python can be knit by yourself","

Can you knit Python by yourself?"
13,python,you_roast_meat_in_it,"Turn into a question that starts with Do, Are, Can
 python you roast meat in it","

Can you roast meat in a Python?"
14,python,used_by_sculptors,"Turn into a question that starts with Do, Are, Can
 python used by sculptors","

Can sculptors use Python?"
15,python,is_straight,"Turn into a question that starts with Do, Are, Can
 python is straight"," forward

Can you teach me how to use Python?"
16,python,is_worn_on_the_upper_part_of_your_body,"Turn into a question that starts with Do, Are, Can
 python is worn on the upper part of your body","

Do you wear a Python on your upper body?"
17,python,is_refreshing_in_the_summer,"Turn into a question that starts with Do, Are, Can
 python is refreshing in the summer","

Do you like refreshing summer weather?"
18,socks,is_airy,"Turn into a question that starts with Do, Are, Can
 socks is airy","

Do socks make your feet feel airy?"
19,socks,has_many_teeth,"Turn into a question that starts with Do, Are, Can
 socks has many teeth","

Do socks have many teeth?"
20,python,used_to_make_coffee,"Turn into a question that starts with Do, Are, Can
 python used to make coffee","

Can Python be used to make coffee?"
21,python,is_a_delicacy,"Turn into a question that starts with Do, Are, Can
 python is a delicacy","

Do people in other countries enjoy python as much as we do in the United States?"
22,socks,can_be_knit_by_yourself,"Turn into a question that starts with Do, Are, Can
 socks can be knit by yourself","

Can socks be knit by yourself?"
23,socks,is_straight,"Turn into a question that starts with Do, Are, Can
 socks is straight","

Do socks need to be straight?"
24,socks,is_refreshing_in_the_summer,"Turn into a question that starts with Do, Are, Can
 socks is refreshing in the summer","

Do socks help keep your feet cool in the summer?"
