,X,tname,head,O1,O2,pChoseO1,pMaj,Winner,ttype,ircosPred,modAcc,twoDPred,twoDAcc,glovePred,gloveAcc,flan,flacc,lfv,lfvacc,lvandflan,lvflanacc,lfv3,lfv3acc,lv3flan,lv3flacc
1,v1,bumblebee_ant_spider,bumblebee,ant,spider,0.611111111111111,0.611111111111111,ant,CC,ant,1,ant,1,ant,1,spider,0,ant,1,spider,0,ant,1,spider,0
2,v2,mosquito_eagle_earwig,mosquito,eagle,earwig,0.297297297297297,0.702702702702703,earwig,CD,earwig,1,earwig,1,eagle,0,earwig,1,earwig,1,earwig,1,earwig,1,earwig,1
3,v3,ladybug_earwig_radish,ladybug,earwig,radish,0.567567567567568,0.567567567567568,earwig,COD,earwig,1,earwig,1,earwig,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,v4,louse_goldfish_squid,louse,goldfish,squid,0.405405405405405,0.594594594594595,squid,DD,goldfish,0,goldfish,0,goldfish,0,squid,1,squid,1,squid,1,goldfish,0,goldfish,0
5,v5,centipede_beaver_t-shirt,centipede,beaver,t-shirt,0.864864864864865,0.864864864864865,beaver,DOD,beaver,1,beaver,1,beaver,1,beaver,1,beaver,1,beaver,1,beaver,1,beaver,1
6,v6,cockroach_harp_screwdriver,cockroach,harp,screwdriver,0.432432432432432,0.567567567567568,screwdriver,ODOD,screwdriver,1,screwdriver,1,NA,NA,screwdriver,1,screwdriver,1,screwdriver,1,screwdriver,1,screwdriver,1
7,v1.1,piranha_anchovy_salmon,piranha,anchovy,salmon,0.27027027027027,0.72972972972973,salmon,CC,salmon,1,salmon,1,anchovy,0,salmon,1,salmon,1,salmon,1,salmon,1,salmon,1
8,v2.1,northern pike_dinosaur_sardine,northern pike,dinosaur,sardine,0.189189189189189,0.810810810810811,sardine,CD,sardine,1,sardine,1,sardine,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,v3.1,whale_passionfruit_shark,whale,passionfruit,shark,0.0810810810810811,0.918918918918919,shark,COD,shark,1,shark,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,v4.1,dolphin_rhinoceros_vulture,dolphin,rhinoceros,vulture,0.864864864864865,0.864864864864865,rhinoceros,DD,vulture,0,rhinoceros,1,vulture,0,rhinoceros,1,rhinoceros,1,rhinoceros,1,rhinoceros,1,rhinoceros,1
11,v5.1,whale_harmonica_owl,whale,harmonica,owl,0.108108108108108,0.891891891891892,owl,DOD,owl,1,owl,1,owl,1,owl,1,owl,1,owl,1,owl,1,owl,1
12,v6.1,piranha_boat_jar,piranha,boat,jar,0.837837837837838,0.837837837837838,boat,ODOD,jar,0,boat,1,jar,0,jar,0,boat,1,jar,0,jar,0,jar,0
13,v1.2,dinosaur_cobra_gecko,dinosaur,cobra,gecko,0.27027027027027,0.72972972972973,gecko,CC,gecko,1,cobra,0,gecko,1,cobra,0,gecko,1,cobra,0,cobra,0,cobra,0
14,v2.2,alligator_python_rhinoceros,alligator,python,rhinoceros,0.621621621621622,0.621621621621622,python,CD,python,1,rhinoceros,0,python,1,python,1,python,1,python,1,python,1,python,1
15,v3.2,salamander_gecko_socks,salamander,gecko,socks,0.756756756756757,0.756756756756757,gecko,COD,gecko,1,gecko,1,gecko,1,gecko,1,gecko,1,gecko,1,gecko,1,gecko,1
16,v4.2,salamander_eel_seagull,salamander,eel,seagull,0.783783783783784,0.783783783783784,eel,DD,eel,1,seagull,0,eel,1,eel,1,eel,1,eel,1,eel,1,eel,1
17,v5.2,snake_fly_kettle,snake,fly,kettle,0.864864864864865,0.864864864864865,fly,DOD,fly,1,fly,1,fly,1,fly,1,fly,1,fly,1,fly,1,fly,1
18,v6.2,crocodile_beet_jeans,crocodile,beet,jeans,0.756756756756757,0.756756756756757,beet,ODOD,jeans,0,beet,1,jeans,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,v1.3,penguin_blackbird_parakeet,penguin,blackbird,parakeet,0.75,0.75,blackbird,CC,blackbird,1,blackbird,1,blackbird,1,parakeet,0,blackbird,1,parakeet,0,blackbird,1,parakeet,0
20,v2.3,chicken_heron_wasp,chicken,heron,wasp,0.810810810810811,0.810810810810811,heron,CD,heron,1,heron,1,heron,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,v3.3,peacock_clementine_stork,peacock,clementine,stork,0.0810810810810811,0.918918918918919,stork,COD,stork,1,stork,1,stork,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,v4.3,woodpecker_hamster_sheep,woodpecker,hamster,sheep,0.810810810810811,0.810810810810811,hamster,DD,sheep,0,hamster,1,hamster,1,hamster,1,hamster,1,hamster,1,hamster,1,hamster,1
23,v5.3,chicken_rabbit_teaspoon,chicken,rabbit,teaspoon,0.918918918918919,0.918918918918919,rabbit,DOD,teaspoon,0,rabbit,1,rabbit,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,v6.3,turkey_blackberry_spoon,turkey,blackberry,spoon,0.756756756756757,0.756756756756757,blackberry,ODOD,blackberry,1,blackberry,1,blackberry,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,v1.4,tiger_lion_monkey,tiger,lion,monkey,0.918918918918919,0.918918918918919,lion,CC,lion,1,lion,1,lion,1,lion,1,lion,1,lion,1,lion,1,lion,1
26,v2.4,brown bat_parakeet_polar bear,brown bat,parakeet,polar bear,0.648648648648649,0.648648648648649,parakeet,CD,polar bear,0,parakeet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,v3.4,hippopotamus_monkey_spear,hippopotamus,monkey,spear,0.810810810810811,0.810810810810811,monkey,COD,monkey,1,monkey,1,monkey,1,monkey,1,monkey,1,monkey,1,monkey,1,monkey,1
28,v4.4,kangaroo_cobra_peacock,kangaroo,cobra,peacock,0.243243243243243,0.756756756756757,peacock,DD,cobra,0,cobra,0,peacock,1,cobra,0,cobra,0,peacock,1,cobra,0,peacock,1
29,v5.4,giraffe_horsefly_pickaxe,giraffe,horsefly,pickaxe,0.756756756756757,0.756756756756757,horsefly,DOD,horsefly,1,horsefly,1,horsefly,1,horsefly,1,horsefly,1,horsefly,1,horsefly,1,horsefly,1
30,v6.4,cow_brussels sprouts_halter top,cow,brussels sprouts,halter top,0.810810810810811,0.810810810810811,brussels sprouts,ODOD,brussels sprouts,1,brussels sprouts,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,v1.5,pineapple_clementine_kiwi,pineapple,clementine,kiwi,0.216216216216216,0.783783783783784,kiwi,CC,kiwi,1,kiwi,1,kiwi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,v2.5,peach_banana_eggplant,peach,banana,eggplant,0.864864864864865,0.864864864864865,banana,CD,banana,1,banana,1,banana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,v3.5,papaya_pineapple_wok,papaya,pineapple,wok,0.810810810810811,0.810810810810811,pineapple,COD,pineapple,1,pineapple,1,pineapple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,v4.5,melon_beet_potato,melon,beet,potato,0.486486486486487,0.513513513513513,potato,DD,potato,1,potato,1,beet,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,v5.5,banana_asparagus_teaspoon,banana,asparagus,teaspoon,0.918918918918919,0.918918918918919,asparagus,DOD,asparagus,1,asparagus,1,asparagus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,v6.5,peach_harpsichord_plate,peach,harpsichord,plate,0.277777777777778,0.722222222222222,plate,ODOD,harpsichord,0,harpsichord,0,plate,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,v1.6,celery_garlic_onion,celery,garlic,onion,0.459459459459459,0.540540540540541,onion,CC,onion,1,onion,1,onion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,v2.6,beet_fig_tomato,beet,fig,tomato,0.540540540540541,0.540540540540541,fig,CD,tomato,0,tomato,0,tomato,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,v3.6,beet_centipede_lettuce,beet,centipede,lettuce,0.0810810810810811,0.918918918918919,lettuce,COD,lettuce,1,lettuce,1,lettuce,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,v4.6,eggplant_pumpkin_strawberry,eggplant,pumpkin,strawberry,0.783783783783784,0.783783783783784,pumpkin,DD,strawberry,0,strawberry,0,pumpkin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,v5.6,garlic_apricot_deer,garlic,apricot,deer,0.891891891891892,0.891891891891892,apricot,DOD,apricot,1,apricot,1,apricot,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,v6.6,pea_ostrich_shield,pea,ostrich,shield,0.777777777777778,0.777777777777778,ostrich,ODOD,shield,0,shield,0,ostrich,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,v1.7,spanner_chisel_oilcan,spanner,chisel,oilcan,0.864864864864865,0.864864864864865,chisel,CC,chisel,1,oilcan,0,NA,NA,chisel,1,chisel,1,chisel,1,chisel,1,chisel,1
44,v2.7,spanner_putty knife_scooter,spanner,putty knife,scooter,0.783783783783784,0.783783783783784,putty knife,CD,putty knife,1,putty knife,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,v3.7,screwdriver_carpenter's level_raspberry,screwdriver,carpenter's level,raspberry,0.944444444444444,0.944444444444444,carpenter's level,COD,carpenter's level,1,carpenter's level,1,carpenter's level,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,v4.7,oilcan_t-shirt_tractor,oilcan,t-shirt,tractor,0.189189189189189,0.810810810810811,tractor,DD,tractor,1,tractor,1,NA,NA,tractor,1,tractor,1,tractor,1,t-shirt,0,tractor,1
47,v5.7,wrench_mango_neck tie,wrench,mango,neck tie,0.166666666666667,0.833333333333333,neck tie,DOD,mango,0,mango,0,neck tie,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,v6.7,shovel_carp_clementine,shovel,carp,clementine,0.567567567567568,0.567567567567568,carp,ODOD,carp,1,carp,1,clementine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,v1.8,mug_apron_sieve,mug,apron,sieve,0.324324324324324,0.675675675675676,sieve,CC,sieve,1,apron,0,apron,0,apron,0,apron,0,apron,0,sieve,1,sieve,1
50,v2.8,placemat_mug_socks,placemat,mug,socks,0.611111111111111,0.611111111111111,mug,CD,mug,1,mug,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,v3.8,can opener_bottle_fig,can opener,bottle,fig,0.891891891891892,0.891891891891892,bottle,COD,bottle,1,bottle,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,v4.8,dish towel_bagpipe_drumset,dish towel,bagpipe,drumset,0.567567567567568,0.567567567567568,bagpipe,DD,drumset,0,bagpipe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,v5.8,wok_banana_jeep,wok,banana,jeep,0.594594594594595,0.594594594594595,banana,DOD,jeep,0,jeep,0,banana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,v6.8,furnace_papaya_plum,furnace,papaya,plum,0.351351351351351,0.648648648648649,plum,ODOD,papaya,0,papaya,0,plum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,v1.9,drumset_harp_tambourine,drumset,harp,tambourine,0.27027027027027,0.72972972972973,tambourine,CC,harp,0,harp,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,v2.9,accordion_harmonica_slingshot,accordion,harmonica,slingshot,0.864864864864865,0.864864864864865,harmonica,CD,harmonica,1,harmonica,1,harmonica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,v3.9,violin_bass guitar_lion,violin,bass guitar,lion,0.918918918918919,0.918918918918919,bass guitar,COD,bass guitar,1,bass guitar,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,v4.9,synthesizer_coat_crowbar,synthesizer,coat,crowbar,0.27027027027027,0.72972972972973,crowbar,DD,crowbar,1,crowbar,1,crowbar,1,crowbar,1,crowbar,1,crowbar,1,coat,0,crowbar,1
59,v5.9,bagpipe_axe_polar bear,bagpipe,axe,polar bear,0.945945945945946,0.945945945945946,axe,DOD,axe,1,polar bear,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,v6.9,accordion_beetle_mushroom,accordion,beetle,mushroom,0.378378378378378,0.621621621621622,mushroom,ODOD,mushroom,1,mushroom,1,mushroom,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,v1.10,sweat shirt_hat_pyjamas,sweat shirt,hat,pyjamas,0.405405405405405,0.594594594594595,pyjamas,CC,pyjamas,1,hat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,v2.10,sweat shirt_skirt_submarine,sweat shirt,skirt,submarine,0.944444444444444,0.944444444444444,skirt,CD,skirt,1,skirt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,v3.10,hat_boa constrictor_shoes,hat,boa constrictor,shoes,0.135135135135135,0.864864864864865,shoes,COD,shoes,1,shoes,1,shoes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,v4.10,coat_chisel_club,coat,chisel,club,0.27027027027027,0.72972972972973,club,DD,club,1,club,1,club,1,chisel,0,club,1,club,1,club,1,chisel,0
65,v5.10,boots_llama_sword,boots,llama,sword,0.297297297297297,0.702702702702703,sword,DOD,sword,1,sword,1,sword,1,sword,1,sword,1,sword,1,sword,1,sword,1
66,v6.10,overalls_beet_piranha,overalls,beet,piranha,0.594594594594595,0.594594594594595,beet,ODOD,piranha,0,piranha,0,piranha,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,v1.11,club_shield_spear,club,shield,spear,0.216216216216216,0.783783783783784,spear,CC,spear,1,shield,0,shield,0,spear,1,spear,1,spear,1,spear,1,spear,1
68,v2.11,machine gun_scarf_shield,machine gun,scarf,shield,0.108108108108108,0.891891891891892,shield,CD,shield,1,shield,1,shield,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,v3.11,rifle_pistol_salmon,rifle,pistol,salmon,0.833333333333333,0.833333333333333,pistol,COD,pistol,1,pistol,1,pistol,1,pistol,1,pistol,1,pistol,1,pistol,1,pistol,1
70,v4.11,shield_bass guitar_toaster,shield,bass guitar,toaster,0.513513513513513,0.513513513513513,bass guitar,DD,bass guitar,1,bass guitar,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,v5.11,machine gun_lemon_putty knife,machine gun,lemon,putty knife,0.0810810810810811,0.918918918918919,putty knife,DOD,putty knife,1,lemon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,v6.11,pistol_flea_moth,pistol,flea,moth,0.555555555555556,0.555555555555556,flea,ODOD,flea,1,moth,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,v1.12,cart_rocket_train,cart,rocket,train,0.027027027027027,0.972972972972973,train,CC,train,1,rocket,0,train,1,train,1,train,1,train,1,train,1,train,1
74,v2.12,jeep_carriage_spatula,jeep,carriage,spatula,0.916666666666667,0.916666666666667,carriage,CD,carriage,1,carriage,1,carriage,1,carriage,1,carriage,1,carriage,1,carriage,1,carriage,1
75,v3.12,rocket_mouse_truck,rocket,mouse,truck,0.0555555555555556,0.944444444444444,truck,COD,truck,1,truck,1,truck,1,truck,1,truck,1,truck,1,truck,1,truck,1
76,v4.12,hot air balloon_bathing suit_shovel,hot air balloon,bathing suit,shovel,0.486486486486487,0.513513513513513,shovel,DD,bathing suit,0,shovel,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,v5.12,train_parrot_wood file,train,parrot,wood file,0.27027027027027,0.72972972972973,wood file,DOD,wood file,1,wood file,1,wood file,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,v6.12,mo-ped_beetle_robin,mo-ped,beetle,robin,0.459459459459459,0.540540540540541,robin,ODOD,beetle,0,robin,1,robin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,v1.13,fly_dragonfly_ladybug,fly,dragonfly,ladybug,0.594594594594595,0.594594594594595,dragonfly,CC,dragonfly,1,dragonfly,1,dragonfly,1,dragonfly,1,dragonfly,1,dragonfly,1,ladybug,0,dragonfly,1
80,v2.13,fly_camel_worm,fly,camel,worm,0.111111111111111,0.888888888888889,worm,CD,worm,1,worm,1,worm,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,v3.13,ant_centipede_screwdriver,ant,centipede,screwdriver,0.918918918918919,0.918918918918919,centipede,COD,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1,centipede,1
82,v4.13,moth_cod_horse,moth,cod,horse,0.594594594594595,0.594594594594595,cod,DD,cod,1,cod,1,cod,1,horse,0,cod,1,cod,1,cod,1,cod,1
83,v5.13,moth_dinosaur_nectarine,moth,dinosaur,nectarine,0.648648648648649,0.648648648648649,dinosaur,DOD,dinosaur,1,dinosaur,1,dinosaur,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,v6.13,centipede_clementine_spear,centipede,clementine,spear,0.694444444444444,0.694444444444444,clementine,ODOD,spear,0,spear,0,clementine,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,v1.14,goldfish_northern pike_orca,goldfish,northern pike,orca,0.621621621621622,0.621621621621622,northern pike,CC,northern pike,1,northern pike,1,orca,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,v2.14,dolphin_orca_owl,dolphin,orca,owl,0.945945945945946,0.945945945945946,orca,CD,orca,1,orca,1,orca,1,orca,1,orca,1,orca,1,orca,1,orca,1
87,v3.14,whale_dolphin_sweater,whale,dolphin,sweater,0.918918918918919,0.918918918918919,dolphin,COD,dolphin,1,dolphin,1,dolphin,1,dolphin,1,dolphin,1,dolphin,1,dolphin,1,dolphin,1
88,v4.14,northern pike_canary_ostrich,northern pike,canary,ostrich,0.444444444444444,0.555555555555556,ostrich,DD,ostrich,1,ostrich,1,canary,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,v5.14,salmon_gecko_mixer,salmon,gecko,mixer,0.837837837837838,0.837837837837838,gecko,DOD,gecko,1,gecko,1,mixer,0,gecko,1,gecko,1,gecko,1,gecko,1,gecko,1
90,v6.14,anchovy_bean_nectarine,anchovy,bean,nectarine,0.611111111111111,0.611111111111111,bean,ODOD,nectarine,0,nectarine,0,nectarine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,v1.15,alligator_frog_toad,alligator,frog,toad,0.594594594594595,0.594594594594595,frog,CC,frog,1,toad,0,toad,0,toad,0,toad,0,toad,0,toad,0,toad,0
92,v2.15,boa constrictor_python_zebra,boa constrictor,python,zebra,0.945945945945946,0.945945945945946,python,CD,python,1,python,1,python,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,v3.15,dinosaur_archery bow_tortoise,dinosaur,archery bow,tortoise,0.0810810810810811,0.918918918918919,tortoise,COD,tortoise,1,tortoise,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,v4.15,turtle_bison_horse,turtle,bison,horse,0.378378378378378,0.621621621621622,horse,DD,bison,0,horse,1,bison,0,bison,0,bison,0,bison,0,bison,0,bison,0
95,v5.15,chameleon_grape_whale,chameleon,grape,whale,0.216216216216216,0.783783783783784,whale,DOD,grape,0,whale,1,grape,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,v6.15,turtle_pineapple_watercress,turtle,pineapple,watercress,0.351351351351351,0.648648648648649,watercress,ODOD,pineapple,0,watercress,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,v1.16,falcon_owl_robin,falcon,owl,robin,0.72972972972973,0.72972972972973,owl,CC,owl,1,owl,1,owl,1,owl,1,owl,1,owl,1,owl,1,owl,1
98,v2.16,heron_hedgehog_woodpecker,heron,hedgehog,woodpecker,0.324324324324324,0.675675675675676,woodpecker,CD,woodpecker,1,woodpecker,1,woodpecker,1,woodpecker,1,woodpecker,1,woodpecker,1,woodpecker,1,woodpecker,1
99,v3.16,seagull_magpie_oven,seagull,magpie,oven,0.861111111111111,0.861111111111111,magpie,COD,magpie,1,magpie,1,magpie,1,magpie,1,magpie,1,magpie,1,magpie,1,magpie,1
100,v4.16,rooster_deer_tiger,rooster,deer,tiger,0.702702702702703,0.702702702702703,deer,DD,tiger,0,tiger,0,deer,1,deer,1,deer,1,deer,1,deer,1,deer,1
101,v5.16,blackbird_accordion_earwig,blackbird,accordion,earwig,0.324324324324324,0.675675675675676,earwig,DOD,earwig,1,earwig,1,earwig,1,earwig,1,earwig,1,earwig,1,earwig,1,earwig,1
