,Concept,Feature,Yes/No,Category,prompt,gpt_response
0,Alligator,are_a_hard_plastic,0,reptile,"In one word, Yes/No: Are alligators a hard plastic ?","

No"
1,Alligator,are_Dense,0,reptile,"In one word, Yes/No: Are alligators Dense ?","

No"
2,Alligator,are_a_good_swimmer,1,reptile,"In one word, Yes/No: Are alligators a good swimmer ?","

Yes"
3,Alligator,are_Abrasive,0,reptile,"In one word, Yes/No: Are alligators Abrasive ?","

No"
4,Alligator,are_a_hand_tool,1,reptile,"In one word, Yes/No: Are alligators a hand tool ?","

Yes"
5,Alligator,are_a_constrictor,1,reptile,"In one word, Yes/No: Are alligators a constrictor ?","

Yes"
6,Alligator,are_Hard,1,reptile,"In one word, Yes/No: Are alligators Hard ?","

Yes"
7,Alligator,are_Rigid,0,reptile,"In one word, Yes/No: Are alligators Rigid ?","

No"
8,Alligator,are_Coated,0,reptile,"In one word, Yes/No: Are alligators Coated ?","

No"
9,Alligator,are_4.5_inches_in_diameter,1,reptile,"In one word, Yes/No: Are alligators 4.5 inches in diameter ?","

Yes"
10,Alligator,are_a_large_snake,1,reptile,"In one word, Yes/No: Are alligators a large snake ?","

Yes"
11,Alligator,are_a_machine,0,reptile,"In one word, Yes/No: Are alligators a machine ?","

No"
12,Alligator,are_a_small_amphibian,1,reptile,"In one word, Yes/No: Are alligators a small amphibian ?","

Yes"
13,Alligator,are_a_tool,1,reptile,"In one word, Yes/No: Are alligators a tool ?","

Yes"
14,Alligator,are_a_reptile,0,reptile,"In one word, Yes/No: Are alligators a reptile ?","

No"
15,Alligator,are_a_thin_piece_of_metal,0,reptile,"In one word, Yes/No: Are alligators a thin piece of metal ?","

No"
16,Alligator,are_a_snake,0,reptile,"In one word, Yes/No: Are alligators a snake ?","

No"
17,Alligator,are_a_swimmer,1,reptile,"In one word, Yes/No: Are alligators a swimmer ?","

Yes"
18,Alligator,are_a_small_to_medium_sized_lizard,0,reptile,"In one word, Yes/No: Are alligators a small to medium sized lizard ?","

Alligators are a large lizard."
19,Alligator,are_a_small_metal,0,reptile,"In one word, Yes/No: Are alligators a small metal ?","

No"
20,Alligator,are_carnivors,1,reptile,"In one word, Yes/No: Are alligators carnivors ?","

Yes"
21,Alligator,are_abrasive,0,reptile,"In one word, Yes/No: Are alligators abrasive ?","

No"
22,Alligator,are_black,1,reptile,"In one word, Yes/No: Are alligators black ?","

Yes"
23,Alligator,are_an_essential_tool,1,reptile,"In one word, Yes/No: Are alligators an essential tool ?","

Yes"
24,Alligator,are_brown,1,reptile,"In one word, Yes/No: Are alligators brown ?","

Yes"
25,Alligator,are_an_amphibian,1,reptile,"In one word, Yes/No: Are alligators an amphibian ?","

Yes"
26,Alligator,are_agile,1,reptile,"In one word, Yes/No: Are alligators agile ?","

Yes"
27,Alligator,are_carnivores,1,reptile,"In one word, Yes/No: Are alligators carnivores ?","

Yes"
28,Alligator,are_born_in_water,0,reptile,"In one word, Yes/No: Are alligators born in water ?","

Alligators are not born in water."
29,Alligator,are_carnivorous,0,reptile,"In one word, Yes/No: Are alligators carnivorous ?","

No, alligators are not carnivorous."
30,Alligator,are_dark_brown,0,reptile,"In one word, Yes/No: Are alligators dark brown ?","

No"
31,Alligator,are_constrictors,1,reptile,"In one word, Yes/No: Are alligators constrictors ?","

Yes"
32,Alligator,are_cold-blooded,0,reptile,"In one word, Yes/No: Are alligators cold-blooded ?","

No"
33,Alligator,are_ectothermic,1,reptile,"In one word, Yes/No: Are alligators ectothermic ?","

Yes"
34,Alligator,are_dimorphic,1,reptile,"In one word, Yes/No: Are alligators dimorphic ?","

Yes"
35,Alligator,are_delicate,1,reptile,"In one word, Yes/No: Are alligators delicate ?","

Yes"
36,Alligator,are_cold-blooded_reptiles,0,reptile,"In one word, Yes/No: Are alligators cold-blooded reptiles ?","

No"
37,Alligator,are_covered_in_scales,1,reptile,"In one word, Yes/No: Are alligators covered in scales ?","

Yes"
38,Alligator,are_elongated,0,reptile,"In one word, Yes/No: Are alligators elongated ?","

No"
39,Alligator,are_fast,1,reptile,"In one word, Yes/No: Are alligators fast ?","

Yes"
40,Alligator,are_herbivore,0,reptile,"In one word, Yes/No: Are alligators herbivore ?","

No"
41,Alligator,are_hand_held,1,reptile,"In one word, Yes/No: Are alligators hand held ?","

Yes"
42,Alligator,are_long,0,reptile,"In one word, Yes/No: Are alligators long ?","

No"
43,Alligator,are_made_of_abrasive_material,1,reptile,"In one word, Yes/No: Are alligators made of abrasive material ?","

Yes"
44,Alligator,are_legless,0,reptile,"In one word, Yes/No: Are alligators legless ?","

No"
45,Alligator,are_good_jumpers,1,reptile,"In one word, Yes/No: Are alligators good jumpers ?","

Yes"
46,Alligator,are_lacking_limbs,1,reptile,"In one word, Yes/No: Are alligators lacking limbs ?","

Yes"
47,Alligator,are_green,0,reptile,"In one word, Yes/No: Are alligators green ?","

No"
48,Alligator,are_hard,0,reptile,"In one word, Yes/No: Are alligators hard ?","

No"
49,Alligator,are_large,0,reptile,"In one word, Yes/No: Are alligators large ?","

No"
